CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
101-68-8,"Diphenylmethane diisocyanate   (4,4'-M.D.I.)","Acute toxicity (inhalation: dust, mist) - Category 2",Skull and crossbones,Danger,Fatal if inhaled,"Category 2 because of ""SPECIES: Rat; ENDPOINT: LC50(4hr.; VALUE: 0.369mg/L""(ACGIH 7th, 2001)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10222-01-2,"2,2-Dibromo-2-cyanoacetamide","Acute toxicity (inhalation: dust, mist) - Category 2",Skull and crossbones,Danger,Fatal if inhaled,"Saturated vapor pressure level of this substance (25degC)is 1.18 ppm (0.01 mg/L). Since LC50 value with 0.32 mg/L of the 4-hour inhalation exposure test employing rats (HSDB (2008)) was larger than saturated vapor pressure level, it was classified into Category 2 by applying the dust standard. ",2009.3.31
10265-92-6,Methamidophos,"Acute toxicity (inhalation: dust, mist) - Category 2",,,,Based on the rat LC50 (4 hour inhalation of dust) value of 0.162mg/L (RTECS (2006)).,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
102851-06-9,"alpha-cyano-3-phenoxybenzyl N-(2-chloro-alpha,alpha,alpha-trifluoro-p-tolyl)-D-valinate","Acute toxicity (inhalation: dust, mist) - Category 2",,,,Based on the rat LC50 (inhalation route) value of 0.44mg/L (Agricultural Chemical Registration Data (1988)).,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
10311-84-9,"2-chloro-1-phthalimidoethyl O,O-diethyl phosphorodithioate","Acute toxicity (inhalation: dust, mist) - Category 2",Skull and crossbones,Danger,Fatal if inhaled,"From rat LC50 = 0.13mg/L of JMPR(Joint Meeting on Pesticide Residures-Monographs&Evaluations)363 (WHO/IPCS, 1976) equivalent to Priority 1, it was set as Category 2.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
105-16-8,2-(Diethylamino)ethyl methacrylate,"Acute toxicity (inhalation: dust, mist) - Category 5",,,,"Based on the guinea pig LC50 value of 1,500ppm, calculated from the testing data of guinea pig LC50 (4 hour inhalation of vapour) of 11mg/L (CERI Hazard Data 2001-64 (2002)), exceeded the saturated vapour concentration (140ppm) under a saturated vapour pressure of 0.014kPa (25degC) (HSDB (2006)), the substance was considered as ""mist exposure,"" and  the obtained LC50 was lower than the upper limit value of Category 4 (5mg/L) by more than 2.5 fold.
","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
105779-78-0,"5-Chloro-N-{2-[4-(2-ethoxyethyl)-2,3-dimethylphenoxy]ethyl}-6-ethylpyrimidine-4-amine; Pylimidifen","Acute toxicity (inhalation: dust, mist) - Category 2",,,,Based on the rat LC50 (inhalation route) value of 0.069mg/L (Agricultural Chemical Registration Data (1993)).,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10588-01-9,Sodium dichromate,"Acute toxicity (inhalation: dust, mist) - Category 2",Skull and crossbones,Danger,Fatal if inhaled,It was set as category 2 based on rat LC50 = 0.2mg/L (EU-RAR (2005)).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
106-47-8,p-Chloroaniline,"Acute toxicity (inhalation: dust, mist) - Category 4",,,,"Based on the rat LC50 value of 448ppm, calculated from the testing data of rat LC50 (4-hour inhalation) of 2.34mg/L (MOE Risk Assessment vol. 2 (2003)) exceeded the saturated vapour concentration (20ppm) under a saturated vapour pressure of 2.0kPa (20degC), the substance was classified based on the mist/dust classification.","Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-50-3,p-Phenylenediamine,"Acute toxicity (inhalation: dust, mist) - Category 5",,,,Based on the rat LC50 (inhalation of dust) value of 920mg/L (4 hours) (CERI Hazard Data 2001-31 (2002)).  ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106917-52-6,"2',4-Dichloro-alpha,alpha,alpha-trifluoro-4'-nitro-m-toluenesulfonanilide; Flusulfamide","Acute toxicity (inhalation: dust, mist) - Category 2",,,,Based on the dog LC50 (4 hour inhalation) value of 0.079mg/L (Agricultural Chemical Registration Data (1990)).,"Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-87-9,2-Pentanone,"Acute toxicity (inhalation: dust, mist) - Category 5",-,"Warning
",May be harmful if inhaled,"There is the description in the inhalation exposure test using a guinea pigs that it died from 50000ppm of 50-minute exposure (4-hour equivalent 36.478mg/L) (ACGIH 7th, 2001), or 50000ppm of 30 - 60-minute exposure (4-hour equivalent 21.974mg/L at the time of considering it as exposure for 30 minutes) (PATTY 4th, 1994). LC50 (4 hours) value is judged that it became 21.974mg/L or more, and it was set as category 5.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-42-9,m-Chloroaniline,"Acute toxicity (inhalation: dust, mist) - Category 3",,,,"Based on the rat LD50 (4 hour inhalation exposure) value of 0.783mg/L (equivalent to 150ppm) (MOE Risk Assessment vol.2 (2003)) was higher than the saturated vapour concentration of 90 ppm under a saturated vapour pressure of 9Pa (20degC), the substance was considered as ""mist exposure."" ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-46-3,"1,3-Benzenediol","Acute toxicity (inhalation: dust, mist) - Category 5",-,"Warning
",May be harmful if inhaled,"Based on rat LC50 value by 1 hour exposure: 21.3mg/L (4 hour equivalent: 5.33mg/L (IUCLID 2000)), it was set as Category 5.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
