CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
77-73-6,Dicyclopentadiene,Acute toxicity (dermal),Category 5,-,Warning,May be harmful in contact with skin,"Although three data (ECETOC JACC 19 (1991)) distributed 4380 - 6600 mg/kg was found out as rabbit dermal LD50, it was set as ""Category 5"" from the lowest data of 4380mg/kg.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-01-2,silver chromate,Acute toxicity (dermal),Classification not possible,-,-,-,No data available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
131-74-8,ammonium picrate,Acute toxicity (dermal),Classification not possible,-,-,-,No data available,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Acute toxicity (dermal),Category 4,"Exclamation mark
",Warning,Harmful in contact with skin,It was set as Category 4 with the value of rabbit LD50= 1ml/kg (reduced value: 890mg/kg) (ACGIH (2001)).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Acute toxicity (dermal),Classification not possible,,,,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID723,Coal tar naphtha,Acute toxicity (dermal),Category 5,-,Warning,May be harmful in contact with skin,"Based on rat LD50= 5ml/kg (reduced value of 4.40g/kg) (IARC47 (1989), EHC20 (1982)), it was set as Category 5.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-46-7,p-Dichlorobenzene,Acute toxicity (dermal),Classification not possible,,,,Insufficient data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8018-01-7,"Complex compounds of manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate)",Acute toxicity (dermal),Not classified,,,,"Based on the rat LD50 (dermal route) value of >5,000mg/kg (Agricultural Chemical Registration Data (1987)).
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
532-27-4,2-chloroacetophenone,Acute toxicity (dermal),Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
98-00-0,2-Furanmethanol,Acute toxicity (dermal),Category 3,Skull and crossbones,Danger,Toxic in contact with skin,"It was set as Category 3 based on rabbit LD50 value: 657mg/kg (DFGOT vol.7, 1996, PATTY 4th, 1994).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100784-20-1,"Methyl 3-chloro-5-(4,6-dimethoxy-2-pyrimidinylcarbamoylsulfamoyl)-1-methylpyrazole-4-carboxylate",Acute toxicity (dermal),Not classified,,,,"Based on the rat LD50 (dermal route) value of >2,000mg/kg, together with the absence of mortality (Agricultural Chemical Registration Data (1990)).
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
86-88-4,antu,Acute toxicity (dermal),Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
109-94-4,Ethyl formate,Acute toxicity (dermal),Not classified,-,-,-,"Based on rabbit LD50: >5000mg/kg (IUCLID (2000)), it was set as the outside of Category.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,Acute toxicity (dermal),Classification not possible,-,-,-,No data available,"Dec. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
2439-35-2,2-(Dimethylamino)ethyl acrylate,Acute toxicity (dermal),Category 3,,,,"Based on the rat LD50 (dermal route) value of 419mg/kg representing the lower value of two testing data, 419mg/kg and 891mg/kg (SIDS (2003)).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
297-78-9,isobenzan,Acute toxicity (dermal),Category 1,Skull and crossbones,Danger,Fatal in contact with skin,"Based on calculated rat LD50= 4.5mg/kg (from LD50 = 4mg/kg, 10mg/kg and 8.5mg/kg (EHC, 129, 1992)), it was categorized.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7292-16-2,propaphos ,Acute toxicity (dermal),Category 2,Skull and crossbones,Danger,Fatal in contact with skin,"It was set as Category 2, based on LD50 = 72.0mg/kg ( the lower value among rat male LD50 = 88.5mg/kg and female LD50 = 72.0mg/kg (Agricultural Chemical Registration Data)).","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
57-09-0,Hexadecyltrimethylammonium bromide,Acute toxicity (dermal),Classification not possible,,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
