CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 433mg/kg calculated from the testing data of rat LD50 (oral route) of 530mg/kg (ACGIH (7th, 2001)), 294mg/kg (SIDS (2002)), 565mg/kg (SIDS (2002)), 664mg/kg (SIDS (2002)) and 694mg/kg (SIDS (2002)).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-01-6,"Aniline, 4-nitro-",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"Calculated based on rat LD50 value: 3249mg/kg (Japan Society for Occupational Health advice, 1995), 3250mg/kg (CERI Hazard Data, 2002), and 750mg/kg (CERI Hazard Data, 2002). Since the calculated values was 1049mg/kg, it was set as Category 4.","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
100-02-7,p-Nnitrophenol,Acute toxicity (oral) - Category 3,,,,"Based on the LD50 value of 109mg/kg calculated from the testing data of rat LD50 (oral route) of 50mg/kg, 620mg/kg (CERI Hazard Data 2001-65 (2002)), 202mg/kg (MOE Risk Assessment vol.4 (2005)), 220mg/kg (CICAD 20 (2000)) and 230mg/kg (ATSDR (1992)).
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-21-0,Terephthalic Acid,Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) value of 1,960mg/kg, representing the lower of the two testing data, 1,960mg/kg and 18,800mg/kg (CERI Hazard Data 97-23 (1998)).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 1320 mg/kg
REFERENCE SOURCE: SIDS(2003)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) value of 2,600mg/kg representing the lower of the two testing data, 2,600mg/kg (CERI Hazard Data 2000-15 (2001)) and 3,080mg/kg (PATTY (4th, 1999)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Acute toxicity (oral) - Category 5,,,,"Based on the testing data of rat LD50 (oral route) of 3,500mg/kg representing the lower of the two testing data, 3,500mg/kg (EHC 186 (1996)) and 4,769mg/kg (ATSDR (1999))","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) of 5,000mg/kg (CERI-NITE Hazard Assessment No.52 (2004)).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 679mg/kg calculated from the testing data of rat LD50 (oral route) of 625mg/kg (CERI Hazard Data 97-4 (1998)), 1,660mg/kg (CERI Hazard Data 97-4 (1998)) and 1,231mg/kg (MOE Risk Assessment vol. 4 (2005)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"Based on the value of LD50 = 848mg/kg calculated by the rat oral LD50 values : 1500, 720, 1000, 800 and 840mg/kg (IUCLID (2000)) and 700, 1500 and 1300mg/kg (HSDB(2003)), the substance was classified as Category 4.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Acute toxicity (oral) - Category 4,,,,"Based on the LD50 value of 1,500mg/kg calculated from the testing data of rat LD50 (oral route) of 1,300mg/kg (SIDS (1996)), 1,292mg/kg, 1,502mg/kg, 2,279mg/kg, 2,400mg/kg and 2,850mg/kg (DFGOT Vol.17 (2002)).
","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-61-8,N-Methylaniline,Acute toxicity (oral) - Category 4,,,,"Based on the rat LD50 (oral route) value of 716mg/kg representing the lower of the two testing data, 716mg/kg and 782mg/kg (CERI Hazard Data 2001-2 (2002)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-63-0,phenyl hydrazine,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 188 mg/kg
REFERENCE SOURCE: PATTY (4th, 1994), ACGIH (7th, 2001)","Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-69-6,2-Vinylpyridine,Acute toxicity (oral) - Category 3,,,,"Based on the LD50 value of 100mg/kg calculated from the testing data of rat LD50 (oral route) of 336mg/kg (CERI-NITE Hazard Assessment No.18 (2005)), 951mg/kg (CERI-NITE Hazard Assessment No.18 (2005)), 100mg/kg (MOE Risk Assessment vol. 4 (2005)) and 200mg/kg (PATTY (4th, 2000)).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-74-3,"Morpholine, 4-ethyl-",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"From both the upper limit and lower limit of the rat 2 examination (the Health, Labor and Welfare Ministry reports (2005)) and LD50 value of ACGIH (2001), it was set as Category 4 based on LD50=1522 mg/kg calculated by the technological guideline.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10022-31-8,Barium nitrate,Acute toxicity (oral) - Category 4,,,,Based on the rat LD50 (oral route) value of 355mg/kg (EHC 107 (1990)).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10022-68-1,"Cadmium nitrate, tetrahydrate",Acute toxicity (oral) - Category 3,,,,Based on the rat LD50 (oral route) of 300mg/kg (RTECS (2004)).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-67-9,Disulfur dichloride,Acute toxicity (oral) - Category 3,Skull and crossbones,Danger,Toxic if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 130 mg/kg
REFERENCE SOURCE: IUCLID 2000","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-78-2,"Silane, trichloro-",Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed, Category 4 based on SPECIES: Rat; ENDPOINT: LD50;VALUE:1030mg/kg; REFERENCE SOURCE: RTECS (2006),"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10025-87-3,Phosphoryl trichloride,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 380 mg/kg
REFERENCE SOURCE: RTECS (2005), IUCLID (2000)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-91-9,Antimony trichloride,Acute toxicity (oral) - Category 4,,,,Based on the rat LD50 (oral route) of 525mg/kg (RTECS (2004)).,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10026-13-8,Phosphorus pentachloride,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"SPECIES: Rat
ENDPOINT: LD50
VALUE: 600 mg/kg
REFERENCE SOURCE: IUCLID (2000)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10031-43-3,cupric nitrate,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,Category 4 based on SPECIES: Rat; ENDPOINT: LD50; VALUE: 940mg/kg; REFERENCE SOURCE: EHC 200 (1998),"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10034-93-2,Hydrazine sulfate,Acute toxicity (oral) - Category 4,Exclamation mark,Warning,Harmful if swallowed,"From a description of LD50 value of 670 mg/kg (BUA 205 (1996)) and 601 mg/kg (HSDB (2005)) in the oral administration test employing rats, it was classified into Category 4. ",2009.3.31
10043-35-3,Boric acid,Acute toxicity (oral) - Category 5,,,,"Based on the LD50 value of 3,241mg/kg calculated from the testing data of rat LD50 (oral route) of 2,660mg/kg, 5,140mg/kg, 3,160mg/kg, 3,450mg/kg, 4,080mg/kg and 5,000mg/kg (DFGOT vol.5 (1993)).","Aug. 22, 2006 (Environmental Hazards: Oct. 23, 2006)"
10045-94-0,mercury dinitrate,Acute toxicity (oral) - Category 2,Skull and crossbones,Danger,Fatal if swallowed,SPECIES: Rat; ENDPOINT: LD50;VALUE:26mg/kg; REFERENCE SOURCE: RTECS (2005),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-14-4,"3,3'-Dichloro-4,4'-diaminodiphenylmethane",Acute toxicity (oral) - Category 4,,,,"Based on the testing data of rat LD50 (oral route) of 1,140mg/kg (MOE Risk Assessment Vol.3, 2004).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
101-61-1,"4,4'-Methylenebis(N,N-dimethylaniline)",Acute toxicity (oral) - Category 5,,,,"Based on the rat LD50 (oral route) value of 3,160mg/kg (IARC 27 (1982)).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
