CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-37-8,"Ethanol, 2-(diethylamino)-",Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,"Rat Inhalation LC50: 4600mg/m3 (equivalent of 960ppm) (SIDS (2003)), 4500mg/m3 (equivalent of 940 ppm) (ACGIH (2001)), and 945ml/m3 (equivalent of 945ppm) (DFGOT vol.14 (2000)). Since the saturated vapor pressure concentration at 20degC is less than 1777ppm, they are considered to be inhalation steam tests. Therefore, it was classified as Category 3.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Acute toxicity (inhalation: vapour) - Category 4,,,,"Based on the rat LC50 (1999 hour inhalation of vapour) value of 17.2 mg/L (4,000 ppm) (ATSDR (1999), EHC 186, (1996)) was lower than 90% of the saturated vapor concentration (9,000 ppm) under a saturated vapour pressure of 0.9 kPa (20degC), the substance was considered as ""vapour containing no mist"" and was classified based on standard values expressed in ppm.
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Acute toxicity (inhalation: vapour) - Category 4,,,,"Based on the LC50 value (4 hours) of 2,770ppm, calculated from the testing data of rat LC50 (4-hour inhalation of vapour) of 11.7mg/L, 11.9mg/L (4 hours) (CERI-NITE Hazard Assessment No.52 (2004), was lower than 90% of the saturated vapour concentration (6,600ppm) under a saturated vapour pressure of 0.67kPa (CERI Hazard Data 96-46 (1998)), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Acute toxicity (inhalation: vapour) - Category 1,,,,"Based on the rat LC50 (4 hours) value of 100ppm (0.52mg/L), calculated from the testing data of rat LC50 (inhalation of vapour) of 0.74mg/L (2 hours) (MOE Risk Assessment vol. 4 (2005)), 0.78mg/L (2 hours) (MOE Risk Assessment vol. 4 (2005)) and 0.77mg/L (ACGIH (7th, 2001)), was lower than 90% of the saturated vapour concentration (1,320ppm) under a saturated vapour pressure of 0.133kPa (22degC) (CERI Hazard Data 97-4 (1998)), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,"Based on LC50 = 1900ppm (equivalent 8mg/L) which is obtained by having converted rat inhalation LC50 value (8hr, 950ppm) for 4 hours, it was classified as Category 3. In addition, the saturated concentration of this product is 1000ppm, and it is presumed that the inhalation test is done in the state of steam.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-74-3,"Morpholine, 4-ethyl-",Acute toxicity (inhalation: vapour) - Category 4,"Exclamation mark
",Warning,Harmful if inhaled,"It is thought that the inhalation test was done with vapor since saturated vapor pressure concentration of this substance is 8050ppm. Since rat LC50 value was not acquired, it was classified as Category 4 based on LC50 = 12mg/L (equivalent: 2544ppm) obtained by having converted mice LC50 value in a 2 hour inhalation test into 4 hour inhalation.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-67-9,Disulfur dichloride,Acute toxicity (inhalation: vapour) - Category 2,Skull and crossbones,Danger,Fatal if inhaled,"Based on rat LC50 = 2.5mg/L = 452ppm [vapour] (IUCLID 2000), the gaseous classification Category was applied, and it was classified as Category 2.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-78-2,"Silane, trichloro-",Acute toxicity (inhalation: vapour) - Category 2,Skull and crossbones,Danger,Fatal if inhaled,"Based on mouse LC50 = 1500mg/m3/2H (equivalent: 191.8ppm/4H) (RTECS, 2006), it was classified as Category 2. (Since LC50 value was less than 90% of the saturations vapor concentration of this product, it was classified by the ppm concentration standard.) ","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10025-87-3,Phosphoryl trichloride,Acute toxicity (inhalation: vapour) - Category 1,Skull and crossbones,Danger,Fatal if inhaled,"Since the saturated vapor pressure concentration of this product is 5248ppm, it is thought that the inhalation test was by with vapor. It was classified as Category 1 based on rat LC50 = 48ppm (ACGIH (7th, 2001)).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-82-9,Tributan-1-ylamine,Acute toxicity (inhalation: vapour) - Category 1,Skull and crossbones,Danger,Fatal if inhaled,"It is written that mortality with 75 ppm of exposure level: 4/6 in 4-hour inhalation exposure test employing rats (Patty (5th, 2001), and LC50 value is considered to be <75 ppm. Since saturated vapor pressure level of this substance (25degC)is 122.89 ppm, it was classified into Category 1 by applying the gas standard. ",2009.3.31
106-42-3,p-Xylene,Acute toxicity (inhalation: vapour) - Category 4,,,,"Based on the rat LC50 (4-hour inhalation) value of 4,740ppm (EHC 190 (1997)) was lower than 90 % of the saturated vapour concentration (8,600ppm) under a saturated vapour pressure of 0.87kPa (20degC), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-87-6,7-oxa-3-oxiranylbicyclo[4.1.0]heptane,Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,"Based on rat LC50 (4 hours) value: 800ppm (equivalent of 4.58mg/L) (DFGOT vol.1, 1992, PATTY 4th, 1994, NTP TR 362, 1989), vapor pressure of 800ppm indicates steam with almost no mist. And it was classified as Category 3 by the ppm concentration standard.","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
106-89-8,Epichlorohydrin,Acute toxicity (inhalation: vapour) - Category 2,,,,"Based on the LC50 value (4 hours) of 250ppm, calculated from the testing data of rat LC50 (inhalation of vapour) of 0.95mg/L (4 hours) (MOE Risk Assessment vol. 1 (2002)) and 2.4mg/L (4 hours) (EHC 33 (1984)), was lower than 90% of the saturated vapour concentration (16,000ppm) under a saturated vapour pressure of 1.6kPa (20degC) (ICSC (2003)), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.

","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-92-3,"1-Allyloxy-2,3-epoxypropane",Acute toxicity (inhalation: vapour) - Category 3,,,,"Based on the rat LC50 (4 hours) value of 950ppm, calculated from the testing data of rat LC50 (inhalation of vapour) of 3.1mg/L (8 hours), was lower than 90% of the saturated vapor concentration (6,300ppm) under a saturated vapour pressure of 0.63kPa (25degC) (ICSC, 1999), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-93-4,"Ethane, 1,2-dibromo-",Acute toxicity (inhalation: vapour) - Category 2,Skull and crossbones,Danger,Fatal if inhaled,"Rat LC50 value 2.304mg/L and 4.620mg/L (4-hour equivalent of 2.31mg/L) (EHC 177 (1996)) corresponded as subjects of classification. Both were equivalent to about 300ppm, and it was classified as Category 2 with the application of the gaseous classification Category.
[saturated vapor pressure concentration: 10^(6) *1.5 / 101(kPa) = 14851ppm]","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-94-5,1-bromopropane,Acute toxicity (inhalation: vapour) - Category 4,Exclamation mark,Warning,Harmful if inhaled,"Since it is written that saturated vapor pressure level of this substance (20degC)is 132,000 ppm, and LC50 value in the 4-hour inhalation exposure test employing rats is 7,000 ppm (ACGIH (7th, 2001)), it was classified into Category 4 by applying the gas standard. ",2009.3.31
106-95-6,3-Bromo-1-propene; Allyl bromide,Acute toxicity (inhalation: vapour) - Category 3,,,,"Based on the LC50 value of 3.5mg/L (equivalent to 710ppm) representing the lower of the LC50 values (4 hours) of 3.5mg/L and 7.1mg/L, calculated from the testing data of rat LC50 (inhalation of vapour) of 10mg/L (30 min) and 10mg/L (2 hours) (RTECS (2006)), was lower than 90% of the saturated vapour concentration (187,000ppm) under a saturated vapour pressure of 142 mmHg (25degC) (equivalent to 18.9 kPa), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.
","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-02-8,Acrolein,Acute toxicity (inhalation: vapour) - Category 1,,,,"Based on the LC50 value (4 hours) of 7.9ppm, calculated from the testing data of rat LC50 (4 hour inhalation of vapour) of 0.018mg/L (4 hours) (EHC 127 (1991)), 0.065mg/L (1 hour) (EU-RAR No.7 (2001)), and 20.8mg/L (4 hours) (EHC 127 (1991)), was lower than 90% of the saturated vapor concentration (361,000 ppm) under a saturated vapour pressure of 274mmHg (25degC) (equivalent to 36,500Pa at 25degC) (HSDB (2005)), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-05-1,3-Chloropropene; Allyl chloride,Acute toxicity (inhalation: vapour) - Category 3,,,,"Based on the LC50 value (4 hours) of 7.8mg/L (2,500ppm), calculated from the testing data of rat LC50 (2-hour inhalation) of 11mg/L (MOE Risk Assessment vol. 2 (2003)), was lower than 90% under of the saturated vapour concentration (389,000ppm) under a saturated vapour pressure of 39.3kPa (20degC), the substance was classified based on standard values expressed in ppm.
","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-06-2,"1,2-Dichloroethane",Acute toxicity (inhalation: vapour) - Category 3,,,,"Based on the LC50 value (4 hours) of 1,000ppm, calculated from the testing data of rat LC50 (inhalation of vapour) of 4 mg/L (6 hours) (EHC 62 (1987)), 6.6mg/L (7.25 hours) (EHC 62 (1987)), 3.29mg/L (10 hours) (SIDS (2002)), and 6.77mg/L (6 hours) (SIDS (2002)), was lower than 90% of the saturated vapor concentration (80,500ppm) under a saturated vapour pressure of 8.13kPa (20degC) (CERI Hazard Data 96-20 (1997)), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
107-07-3,2-Chloroethanol,Acute toxicity (inhalation: vapour) - Category 1,Skull and crossbones,Danger,Fatal if inhaled,There are descriptions about LC50 = 0.3mg/L (but exposure time is unknown) (RTECS (2000)) and that death was observed with 1 hour exposure to 7.5ppm (ACGIH (2001)). Soit is supposed to be Category 1.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-11-9,allylamine,Acute toxicity (inhalation: vapour) - Category 2,Skull and crossbones,Danger,Fatal if inhaled,"The vapor pressures at 25degC is 242mmHg (after conversion: 323hPa), and 177ppm was thought to be in vapor state. Since rat inhalation LC50 value of 177ppm/8h (RTECS (2004)) is converted to LC50 = 0.583mg/L/4h, it was classified as Category 2.","Mar. 15, 2007 (Environmental Hazards: May 24, 2006)"
107-13-1,Acrylonitrile,Acute toxicity (inhalation: vapour) - Category 2,,,,"Based on the rat LC50 value of 0.54 mg/L (243ppm), calculated from the testing data of rat LC50 (inhalation of vapour)  of 0.47mg/L (4 hours), 1.03mg/L (4 hours) and 1.21mg/L (4 hours) (EU-PAR No.32, 2004), was lower than 90% of the saturated vapor concentration (110,000ppm) under a saturated vapour pressure of 11 kPa (20degC)  (IPCS, 2001), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
107-18-6,Allyl alcohol,Acute toxicity (inhalation: vapour) - Category 2,,,,"Based on the LC50 value (4 hours) of 165ppm, calculated from the testing data of rat LC50 (4 hour inhalation of vapor) of 0.391mg/L (DFGOT vol.15 (2001)), was lower than 90% of the saturated vapor concentration (25,000ppm) under a saturated vapour pressure of 2.5kPa (20degC) (ICSC (2000)), the substance was considered as ""vapour containing substantially no mist"" and was classified based on standard values expressed in ppm.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-19-7,2-Propyn-1-ol,Acute toxicity (inhalation: vapour) - Category 2,Skull and crossbones,Danger,Fatal if inhaled,"Based on the rat LC50 value (1 hour exposure: 1040ppm, ACGIH 7th.2001), which is equivalent of 520ppm (1.19mg/L) in 4 hour exposure, it was classified as Category 2.","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
107-20-0,chloroacetaldehyde,Acute toxicity (inhalation: vapour) - Category 2,Skull and crossbones,Danger,Fatal if inhaled,"The saturated vapor pressure concentration of this product is 131, 680ppm, and it is presumed that inhalation toxicity study was done in the state of steam. It was classified as Category 2 based on the lower of two rat LC50 values (103, 122ppm), LC50 = 103ppm (DFGOT vol.12 (1998)). It is Category 2 though almost Category 1.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-30-2,"Ether, chloromethyl methyl",Acute toxicity (inhalation: vapour) - Category 1,Skull and crossbones,Danger,Fatal if inhaled,It was classified as Category 1 based on rat LC50: 65ppm/7h (4h equivalent: 85ppm) (CERI Hazard Data  (2005)).,"Feb. 20, 2007 (Environmental Hazards: Feb. 10, 2006)"
107-31-3,Methyl formate,Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,It was classified as Category 3 based on rat LC50: 2116ppm/4h (RTECS (2004)). (The saturated vapor concentration at 20degC is 6.2*10^(5) ppm),"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-49-3,TEPP,Acute toxicity (inhalation: vapour) - Category 1,Skull and crossbones,Danger,Fatal if inhaled,"Since the saturated vapor pressure concentration of this product is 19.8ppm (0.24mg/L), it is thought that the inhalation test was done with vapor. It was classified as Category 1 based on LC50 = 0.006mg/L = 0.51ppm calculated from four rat LC50 data (PATTY (5th, 2001)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-87-9,2-Pentanone,Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,"Based on rat LC50 (4 hours) value : 2000ppm (7.032mg/L) (ACGIH 7th, 2001, PATTY 4th, 1994), which indicates steam with almost no mist from its vapor pressure, it was classified as Category 3 by the ppm concentration standard.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-03-2,"Propane, 1-nitro-",Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,"Based on rat LC50 (1 hour) value: 11.02 mg/L (4 hour equivalent: 5.51mg/L, 1514ppm), it was classified . Since 5.51 mg/L was judged to be steam with almost no mist from vapor pressure, it was classified according to the ppm concentration standard. it was classified as Category 3.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-05-4,Vinyl acetate,Acute toxicity (inhalation: vapour) - Category 4,,,,"Based on the rat LC50 value of 3,184ppm, equivalent to the testing data of rat LC50 (4-hour inhalation) of 11.4mg/L (MOE Risk Assessment vol. 2 (2003)), was lower than 90% of the saturated vapour concentration (110,000ppm) under a saturated vapour pressure of 11kPa (20degC), the substance was classified based on standard values expressed in ppm.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-10-1,Methyl isobutyl ketone,Acute toxicity (inhalation: vapour) - Category 3,Skull and crossbones,Danger,Toxic if inhaled,"Lower value was adopted based on rat LC50 (4 hours) = 8.2mg/L and 16.4mg/L (CERI Hazard Data (2000), EHC 117 (1990), DFGOT vol.13 (1999)). Moreover, it was classified by the ppm concentration standard, because the steam with almost free of mist from vapor pressurethe. The converted value is 2000ppm from the conversion coefficient, and it was classified as Category 3.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
