CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Hazardous to the aquatic environment (acute),Category 2,-,-,Toxic to aquatic life,"It was classified into Category 2 from 96 hours LC50=2.14mg/L of the crustacea (Penaeus Chinensis) (CERI/NITE Hazard Assessment Report, 2004).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-01-6,"Aniline, 4-nitro-",Hazardous to the aquatic environment (acute),Category 3,-,-,Harmful to aquatic life,"It was classified into Category 3 from 24-hour EC50=25mg/L of Crustacea (Daphnia magna) (CERI Hazard Data, 2002).","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
100-02-7,p-Nnitrophenol,Hazardous to the aquatic environment (acute),Category 2,-,-,Toxic to aquatic life,"It was classified into Category 2 from 96 hours LC50=2.2mg/L of the fish (Rainbow Trout) (ECETOC TR91, 2003).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Hazardous to the aquatic environment (acute),Category 3,-,-,Harmful to aquatic life,"It was classified into Category 3 from 72-hour ErC50=44mg/L of algae (Scenedesmus) (SIDS, 2004).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Hazardous to the aquatic environment (acute),Category 2,-,-,Toxic to aquatic life,"It was classified into Category 2 from 48 hours EC50=1.87mg/L of the crustacea (Daphnia magna) (CERI/NITE Hazard Assessment Report (preliminary version), 2006).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Hazardous to the aquatic environment (acute),Category 1,Environment,Warning,Very toxic to aquatic life,"It was classified into Category 1 from 96 hours LC50=0.4mg/L of the crustacea (Brown Shrimp) (CERI/NITE Hazard Assessment Report (preliminary version), 2006).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Hazardous to the aquatic environment (acute),Category 2,-,-,Toxic to aquatic life,It was classified into Category 2 from 96 hours LC50=4.02mg/L of the fish (Fathead Minnows) (CERI/NITE Hazard Assessment Report (2004) and others.).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Hazardous to the aquatic environment (acute),Category 1,Environment,Warning,Very toxic to aquatic life,It was classified into Category 1 from 96 hours LC50=140microg/L of the crustacea (Marsupenaeus Japonicus) (MOE Risk Assessment vol. 3 (2004) and others.).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,Hazardous to the aquatic environment (acute),Category 3,-,-,Harmful to aquatic life,"It was classified into Category 3 from 24-hour EC50=30930microg/L(AQUIRE, 2003) of Crustacea (Water fleas).","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Hazardous to the aquatic environment (acute),Category 2,-,-,Toxic to aquatic life,It was classified into Category 2 from 96 hours LC50=1070microg/L of the fish (Bluegill) (MOE Risk Assessment vol. 2 (2003) and others.).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
