CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-41-4,Ethylbenzene,Aspiration hazard,Category 1,,,,"Based on the description in ICSC (J) (1995): Ethyl benzene, if swallowed, may cause chemical pneumonia due to misswallowing. The substance is a hydrocarbon, the kinematic viscosity of which stands at 0.74mm3/s (25degC).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Aspiration hazard,Category 1,,,,Based on the fact that styrene is a hydrocarbon and has a dynamic viscosity of 0.772 mm2/s (25degC) (CERI calculated value).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
106-35-4,heptan-3-one,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less. ,"Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
106-42-3,p-Xylene,Aspiration hazard,Category 1,,,,"Based on the description in ICSC (J) (2002): ""May cause aspiration and chemical pneumonia if swallowed."" Based on the fact that p-xylene is a hydrocarbon and has a dynamic viscosity of 0.704mm2/s (25degC) (CERI calculated value).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-06-2,"1,2-Dichloroethane",Aspiration hazard,Category 1,,,,"Based on the description in the report on human symptoms: ""May cause pulmonary edema if inhaled and chemical pneumonia if swallowed."" (MOE Risk Assessment vol. 2 (2003)), ""Pulmonary congestion/edema, dyspnea and bronchitis were observed in deceased patients (due to acute ingestion), while pulmonary edema can be attributed to chemical pneumonia due to misswallowing"" (ATSDR (2001)). ","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
107-18-6,Allyl alcohol,Aspiration hazard,Category 2,,,,Based on its kinematic viscosity and being a primary alcohol containing 3-13 carbon atoms. ,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-87-9,2-Pentanone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less. ,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-10-1,Methyl isobutyl ketone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of being a primary normal alcohol composed of carbon atoms (3<=n>=13) and containing an isobutyl alcohol and ketone composed of carbon atoms (n>=13).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
108-21-4,1-methylethyl acetate,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"We classified it as Category 2 based on the statement that there is a risk of chemical pneumonia in case of swalloed by aspiration into the lungs (ICSC (1998)), and the statement that of risk of chemical pneumonia by intake (SITTIG (47th, 2002)). Since it was unknown whether it is the description based on human case, We did not classify it as Category 1.","Jul. 24, 2006 (Environmental Hazards: Feb. 10, 2006)"
108-38-3,m-Xylene,Aspiration hazard,Category 1,,,,"Based on the description in ICSC (J) (2002): ""May cause aspiration and chemical pneumonia if swallowed."" Based on the fact that m-xylene is a hydrocarbon and has a dynamic viscosity of 0.676mm2/s (25degC) (CERI calculated value).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-57-6,m-Divinylbenzene,Aspiration hazard,Category 1,,,,Based on the fact that the substance is a hydrocarbon and has a dynamic viscosity of 1.17mm2/s (20degC).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-67-8,"1,3,5-Trimethylbenzene",Aspiration hazard,Category 1,,,,Based on the fact that the substance is a hydrocarbon and has a dynamic viscosity of 1.336mm2/s (20degC).,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-83-8,Diisobutyl ketone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"The dynamic viscosity at 21 degree C is 1.1mm2/s (calculated from The Solvent Pocket Book data), and diisobutyl ketone is a ketone with a carbon number of 13 or less, therefore we classified it as Category 2.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-87-2,Methyl cyclohexane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since it is a hydrocarbon and the dynmic viscosity is about 0.95 mm2/s at 20 degrees C ( viscosity/density = 0.732 (mPas)/0.7694 (g/cm3)), and the dynamic viscosity at 40 degrees C is considered to be less than 20.5 mm2/s, we classified it as Category 1.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-88-3,Toluene,Aspiration hazard,Category 1,,,,Based on the fact that toluene is a hydrocarbon and has a dynamic viscosity of 0.65 mm2/s (25degC) (calculated value).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
108-90-7,Chlorobenzene,Aspiration hazard,Category 2,,,,"Based on the description in ICSC (J) (2003): ""May cause aspiration and chemical pneumonia if swallowed"".","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
108-94-1,Cyclohexanone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"In this surver, no data of the aspiration breathing apparatus hazards, however, the dynamic viscosity is considered to be (40 degrees C) <14mm2/s (dynamic viscosity = 2.13mm 2/s (24 degrees C) (based on Renzo (3rd, 1986))), moreover, ""there were also the authorities which classified the ketone of 13 or less carbon atoms,"" therefore we classified it as Category 2.","Feb. 20, 2007 (Environmental Hazards: Feb. 10, 2006)"
109-66-0,Pentane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since it is a hydrocarbon and the dynamic viscosity is 0.374mm2/s at 20 degrees C (calculated from the viscosity 0.234mPs-s, and the density of 0.62624g/cm3 at 20 degrees C), we classified it as Category 1.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-12-3,"2-Hexanone, 5-methyl-",Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less. ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-43-0,2-Heptanone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less. ,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-54-3,Hexane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since it is a hydrocarbon and the dynamic viscosity at 40 degrees C is 20.5mm2/s or less, we classified it as Category 1. There was description of chemical pneumonia by the Aspiration in the rat (DFGOT vol.4 (1992)).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
110-82-7,Cyclohexane,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of ""possible to cause chemical pneumonia by misswallowing of the liquid.""(ICSC(J), 1999)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-83-8,Cyclohexene,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of ""possible to cause chemical pneumonia by misswallowing of the liquid.""(ICSC(J), 1999)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-65-9,Octane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Based on the statement of hydrocarbon of dynamic viscosity of 0.735mm 2/s (calculated value), the risk of chemical pneumonia (ICSC (1997)), and fear of chemical pneumonia by aspiration (HSDB (2005)), it was classified into Category 1.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-84-2,Nonane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since it is a hydrocarbon and its dynamic viscosity is 20.5mm2/s or less at 40 degrees C (the dynamic viscosity converted from viscosity 0.55cP at 40 degrees C using density 0.7176-0.7192 g/cm3 is 0.8mm2/s), we classified it as Category 1.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-87-5,1-Octanol,Aspiration hazard,Category 2,,,,"Based on the description in ICSC (J) (2002): ""May cause aspiration and chemical pneumonia if swallowed (liquid).""","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
112-30-1,Decan-1-ol,Aspiration hazard,Category 1,Health Hazard,Danger,May be fatal if swallowed and enters airways,"""After aspiration of 0.2 mL of the substance, nine out of the nine rats died"" (Patty (5th, 2001)) and ""it is harmful if inhaled, and it shows solubility behavior like the hydrocarbons in a small quantity (0.2 mL)"" (HSDB (2006)). Moreover, the kinematic viscosity at 20degC is calculated to be 16.6 mm2/s (20degC), and at 40degC, the viscosity is expected to be 20.5 mm2/s or less. Therefore, it is classified into Category 1. ",2009.3.31
123-19-3,heptan-4-one,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less (though no data available on chemical pneumonia),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
123-96-6,2-Octanol,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of  ""possible to be classified into Aspiration hazard."" (ICSC(J), 2002)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
127-18-4,Tetrachloroethylene,Aspiration hazard,Category 2,,,,"Based on the description in ICSC (J) 2003: ""Effects of short-term exposure - may cause chemical pneumonia if swallowed.""","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
1304-56-9,Beryllium oxide,Aspiration hazard,Category 2,,,,"""Inhalation of dust or fume may cause chemical pneumonia"" (ICSC (J) (2000)).
According to the technical guideline, ""metal dust of beryllium fluoride may produce chemical pneumonia following inhalation exposure etc. In the ICSC card, under the heading of 'important data,' it says 'inhalation of dust/fume may cause chemical pneumonia.
","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
1305-78-8,Calcium oxide,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Category 1 because of ""aspiration pneumonia to human beings.""(HSDB, 2005) ","Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1310-58-3,Potassium hydroxide,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,It was classified into Category 1 based on the statement of die of pneumonia by aspiration (ACGIH (2001)).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1330-20-7,Xylene,Aspiration hazard,Category 2,,,,"Based on the description in ICSC(J)(2002) regarding o-xylene, m-xylene and p-xylene: ""May cause aspiration and chemical pneumonia if swallowed"".","Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
1331-22-2,methylcyclohexanone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of being a primary normal alcohol composed of carbon atoms (3<=n>=13) and containing an isobutyl alcohol and ketone composed of carbon atoms (n>=13).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
141-32-2,Butyl acrylate,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of ""possible to classify into Aspiration hazard."" (ICSC Card)","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
142-82-5,Heptane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since it is a hydrocarbon and the dynamic viscosity is 0.61mm2/s at 20 degrees C (calculated from the viscosity 0.4169 mPa-s and the density 0.68376g/cm3 at 20 degrees C), we classified it as Category 1.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
16219-75-3,"2-Norbornene, 5-ethylidene-",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"It was classified into Category 1 based on the description of severe pneumonia by aspiration in human (PATTY (5th, 2001)), and the description that when the fluid is swallowed, there is a risk of chemical pneumonitis by aspiration (ICSC (J), (1999)).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1634-04-4,Methyl t-butyl ether,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since there is a description that when the liquid is swallowed, the chemical pneumonia may be occurred in aspiration into lungs (MOE Risk Assessment the 4th volume (2005)), we classified it as Category 1.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
2079-00-7,Blasticidin S,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Category 1 because of ""aspiration pneumonitis as an acute symptom in human beings."" (HSDB, 2004)","Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
2439-35-2,2-(Dimethylamino)ethyl acrylate,Aspiration hazard,Category 2,,,,"Based on the evidence from animal studies including ""alveolar hemorrhage (due probably to irritation caused by the reflux of the orally administered substance), pulmonary edema/congestion, fatal cases"" (SIDS (2003)). The kinematic viscosity stands at 1.31mm2/s (25degC) (CERI calculated value (2005)).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
25167-80-0,chlorophenol,Aspiration hazard,o-: Classification not possible; m-: Classification not possible; p-: Classification not possible,-,-,-,"No data available (o-, m-, p-)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25551-13-7,"Benzene, trimethyl-",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Trimethyl benzene is a hydrocarbon. There is a descriptionthat among the three isomers, the viscosity of 1, 2, 4-trimethyl benzene and 1, 3, 5-trimethyl benzene are 0.730mPas (30 degrees C) and 1.154mPas (20 degrees C), respectively (Lange (14th, 1992)). Based on these each viscosity data and on the fact that the densities of these 3 isomers are smaller than 0.9, it is judged that the dynamic viscosity of trimethyl benzene at 40 degrees C (the mixture of three isomers) is fully less than 20.5mm 2/s. Moreover, there is a description that [there is a risk of chemical pneumonia by aspiration if the fluid is swallowed](ICSC (J) (2002)), and 1, 2, 3-trimethyl benzene and 1, 3, 5-trimethyl benzene are explained. Furthermore, there is the description that [bronchitis or chemical pneumonia will be caused if the liquid enters into the lungs](SITTIG (4th, 2002)), and we classified it as Category 1 based on these descriptions.","Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
287-92-3,Cyclopentane,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"There is the descriptions that aspiration causes chemical pneumonia (the documents of Priority 1 (PATTY (5th, 2001)) and 2 (ICSC(J) (1994); SITTIG (4th, 2002))), therefore we classified it as Category 1.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
563-47-3,3-Chloro-2-methylprop-1-ene,Aspiration hazard,Category 1,Health Hazard,Danger,May be fatal if swallowed and enters airways,"Since there is a risk of chemical pneumonia by aspiration (ICSC (1998)) and the kinematic viscosity is calculated to be 0.458 (20degC) and the figure is expected to be lower at 40degC, it was classified into Category 1. ",2009.3.31
563-80-4,"2-Butanone, 3-methyl-",Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less. ,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
591-78-6,hexan-2-one,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of being a primary normal alcohol composed of carbon atoms (3<=n>=13) and containing an isobutyl alcohol and ketone composed of carbon atoms (n>=13).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
592-41-6,1-Hexene,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,Category 1 because of a hydrocarbon and the dynamic viscosity: 0.39mm2/s at 25degC.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
60-29-7,"Ethane, 1,1'-oxybis",Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of ""possible to be classified into Aspiration hazard (ICSC)""","Jul. 24, 2006 (Environmental Hazards: Feb. 10, 2006)"
62-53-3,Aniline,Aspiration hazard,"Classification not possible
",,,,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
64741-44-2,"Distillates (petroleum), straight-run middle",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Category 1 because of ""possible to cause chemical pneumonia by misswallowing of the liquid."" (ATSDR, 1995)","Jul. 24, 2006 (Environmental Hazards: Mar. 23, 2006)"
64741-88-4,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"It was classified into Category 1 based on the reports that ingestion of mineral oil causes the aspiration into the lungs, and as a result it occures the pneumonie huileuses or chemical pneumonia in the human (EHC 20 (1982), IARC 33 (1984), ICSC (2001), ACGIH (2001)).","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
64741-97-5,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"It was classified into Category 1 based on the reports that ingestion of mineral oil causes the aspiration into the lungs, and as a result it occures the pneumonie huileuses or chemical pneumonia in the human (EHC 20 (1982), IARC 33 (1984), ICSC (2001), ACGIH (2001)).","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
67-63-0,2-Propanol,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Although we have no information for human, the death of cardiopulmonary arrest is observed within 24 hours by the intratracheal administration in the rat (EHC (1990) and PATTY (1994)). And the dynamic viscosity was around 1.6 approximately, we judged that there was aspiration breathing apparatus hazards, and we classified it as Category 2.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
67-64-1,Acetone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"The calculated dynamic viscosity is 0.426mm2/sec and there was not the animal data of chemical pneumonia, however, it was the ketone of under C13, therefore it was classified into  Category 2.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
71-23-8,1-Propanol,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of being a primary normal alcohol composed of carbon atoms (3<=n>=13).,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
71-36-3,1-Butanol,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of being a primary normal alcohol composed of carbon atoms (3<=n>=13) and containing an isobutyl alcohol and ketone composed of carbon atoms (n>=13).,"Feb. 20, 2007 (Environmental Hazards: Feb. 10, 2006)"
71-43-2,Benzene,Aspiration hazard,Category 1,,,,"Based on the description in ICSC (J) (2003): ""May cause aspiration and chemical pneumonia if swallowed."" Based on the fact that benzene is a hydrocarbon and has a dynamic viscosity of 0.740mm2/s (25degC) (CERI calculated value).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
72623-86-0,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"It was classified into Category 1 based on the reports that ingestion of mineral oil causes the aspiration into the lungs, and as a result it occures the pneumonie huileuses or chemical pneumonia in the human (EHC 20 (1982), IARC 33 (1984), ICSC (2001), ACGIH (2001)).","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
72623-87-1,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"It was classified into Category 1 based on the reports that ingestion of mineral oil causes the aspiration into the lungs, and as a result it occures the pneumonie huileuses or chemical pneumonia in the human (EHC 20 (1982), IARC 33 (1984), ICSC (2001), ACGIH (2001)).","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
75-15-0,Carbon disulfide,Aspiration hazard,Category 2,,,,"Based on the description in CICAD 46 (2002) and ICSC (J) (2000): ""May cause aspiration and chemical pneumonia if swallowed.""
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
75-31-0,2-Propanamine,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of ""possible to cause chemical pneumonia by misswallowing of the liquid.""(ICSC(J), 1999)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
75-35-4,"1,1-Dichloroethylene; Vinylydene dichloride",Aspiration hazard,Category 2,,,,"May cause aspiration and chemical pneumonia if swallowed (ICSC (J) (2000)), ""In case of accidental ingestion, rinsing the mouth with water is recommended. An attempt to induce vomiting is not advised as the material may enter the pharynx and/or lung"" (EHC 100 (1990)).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7697-37-2,Nitric acid,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,It was classified into Category 1 based on the statement that of chemical lobar pneumonia by aspiration (ACGIH (2001)).,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
77-73-6,Dicyclopentadiene,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Although it is a polycyclic hydrocarbon corresponded by dynamic viscosity, the industrial products contain monocyclic substance (cyclopentadiene) a lot. We classified it as ""Category 1.""","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7705-08-0,Iron trichloride,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Category 1 because of ""aspiration pneumonia"" (HSDB, 2005)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7787-49-7,Beryllium fluoride,Aspiration hazard,Category 2,,,,"""Inhalation of dust or fume may cause chemical pneumonia"" (ICSC (J) (2000)).
According to the technical guideline, ""metal dust of beryllium fluoride may produce chemical pneumonia following inhalation exposure etc. In the ICSC card, under the heading of 'important data,' it says 'inhalation of dust/fume may cause chemical pneumonia,' and the following chemicals are listed as examples"" (ICSC (J) (2000)). The present substance is assumed to be included in the list and thus classified into Category 2 for ""Aspiration hazard.""
","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
7789-30-2,bromine pentafluoride,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,"Category 2 because of ""possible to cause chemical pneumonia""(HSDB, 2005)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-78-4,"Butane, 2-methyl-",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Since it is a hydrocarbon and the dynamic viscosity at 20 degrees C is 0.3615 or 0.3760 mm2/s (calculated from the viscosity 0.224 or 0.233 mPas, and the density 0.61967 g/cm3 at 20 degrees C), we classified it as Category 1.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-83-1,"1-Propanol, 2-methyl-",Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of an isobutyl alcohol (UN Report),"Feb. 20, 2007 (Environmental Hazards: Feb. 10, 2006)"
78-93-3,2-Butanone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of being a primary normal alcohol composed of carbon atoms (3<=n>=13) and containing an isobutyl alcohol and ketone composed of carbon atoms (n>=13).,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
78-94-4,butenone,Aspiration hazard,Category 2,Health hazard,Warning,May be harmful if swallowed and enters airways,Category 2 because of a ketone composed of 13 carbon atoms or less. ,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
79-01-6,Trichloroethylene,Aspiration hazard,Category 2,,,,"Based on the description in ICSC (J) (2002): ""May cause aspiration and chemical pneumonia if swallowed (liquid).""","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
79-06-1,Acrylamide,Aspiration hazard,"Classification not possible
",,,,No data available,"Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
8002-05-9,"Distillates (petroleum), solvent-refined heavy paraffinic; Distillates (petroleum), solvent-refined light naphthenic; Lubricating oils (petroleum), C15-30, hydrotreated neutral oil-based; Lubricating oils (petroleum), C20-50, hydrotreated neutral oil-based; Petroleum; Paraffin oils",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"It was classified into Category 1 based on the reports that ingestion of mineral oil causes the aspiration into the lungs, and as a result it occures the pneumonie huileuses or chemical pneumonia in the human (EHC 20 (1982), IARC 33 (1984), ICSC (2001), ACGIH (2001)).","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
8006-61-9,"Gasoline, natural",Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Category 1 because of ""human beings cause aspiration pneumonia by an oral ingestion of gasoline."" (HSDB, 2004)","Mar. 23, 2006"
8006-64-2,Turpentine oil,Aspiration hazard,Category 1,Health hazard,Danger,May be fatal if swallowed and enters airways,"Based on the descriptions that when it is aspirated into the airway by the aspiration (ACGIH (7th, 2001), PATTY (4th, 1994), DFGOT (Vol.17, 2002), ICSC (J) (2002)), it may cause the chemical pneumonia, we classified it as Category 1.","Mar. 23, 2006"
