CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Carcinogenicity - Category 2,,,,"Classified into Category 3 by IARC (1996), and into Category A3 by ACGIH (2001); priority is given to the latest evaluation document according to the guidelines.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Carcinogenicity - Category 2,,,,"Due to the fact that the substance is classified as Category A3 by ACGIH (2001), Group 2B by IARC (1994), Category 2B by Japan Society for Occupational Health.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Carcinogenicity - Category 2,,,,Due to the fact that the substance is classified as Group 2B by IARC (2000) and Category A3 by ACGIH (2001).,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-44-7,Benzyl chloride,Carcinogenicity - Category 2,,,,Due to the fact that the substance is classified as Category A3 by ACGIH (2001) and Category B2 by EPA (1994).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-63-0,phenyl hydrazine,Carcinogenicity - Category 2,Health hazard,Warning,Suspected of causing cancer (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"It was classified into the category 2 (EU-Annex I, 2005) in EU. But it was classified into A3 (ACGIH 7th, 2001) in ACGIH. So it was considered as Category 2.","Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
10022-68-1,"Cadmium nitrate, tetrahydrate",Carcinogenicity - Category 1A,,,,"Due to the fact that the substance is classified as Category K (as cadmium and cadmium compounds) by NTP (2005), Group 1 (as cadmium and cadmium compounds) by IARC (1993) and Category 1 (as cadmium and cadmium compounds) by the Japan Society for Occupational Health.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10031-13-7,lead arsenite,Carcinogenicity - Category 1A,Health hazard,Danger,May cause cancer (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"No finding of this product is observed. But inorganic arsenic compound is categorized into human carcinogen in IARC(IARC Suppl.7, 1987; IARC 84, 2004), ACGIH(ACGIH, 7th, 2001), DFG(MAK/BAT, 2005), NTP(NTP RoC 11th, 2005). Therefore, it was clasiffied into Category 1A. In addition, as lead compound (inorganic), it corresponds to Category 1B (Group 2A) in IARC 87 (2004), it corresponds to Category 1B-2 in NTP RoC (11th, 2005) (Reasonably anticipated to be human carcinogens), and it corresponds to Category 2 (B-2, A3, respectively) in IRIS (1993) and ACGIH-TLV (2005),.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10034-93-2,Hydrazine sulfate,Carcinogenicity - Category 2,Health Hazard,Warning,Suspected of causing cancer,"IARC evaluates Hydrazines as group 2B (IARC 71 (1999), EHC 68 (1987)) and NTP evaluates Hydrazine and Hydrazine sulfate as R (NTP RoC (11th, 2005)). Priority was given to the classification of IARC and it was classified into Category 2. In addition, as for tests in which this article was administered to animals, there is a report that hepatocellular carcinoma was developed in the 2-year drinking water medication test which employed hamsters (IARC 71 (1999)), and there are descriptions that lung adenomas was developoed in the repeated oral dose study employing rats and mice and that liver cancer was developed in the 36-week forcible oral administration examination employing mice (EHC 68 (1987)). ",2009.3.31
10099-74-8,Lead dinitrate,Carcinogenicity - Category 2,,,,"Due to the fact that the substance is classified as Category R by NTP (2005), Group 2B by IARC (1987), Category A3 by ACGIH (2001) and Category 2B by Japan Society for Occupational Health.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-76-0,lead(2+) silicate,Carcinogenicity - Category 1B,Health hazard,Danger,May cause cancer (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"There is no data of this product. But as a lead compound, it is equivalent to Category1B (inorganic lead compounds, Group 2A ) in IARC87 (2004), equivalent to Category1B-2 (Reasonably anticipated to be human carcinogens) in NTPRoC (11th, 2005), and equivalent to Category 2 (respectively B-2, A3, 2B) in IRIS (1993), ACGIH-TLV (2005), and Occupational Health Society advice (2005).Therefore, it was set as Category 1B according to Group 2A of IARC87 (2004).","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
