CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
77-73-6,Dicyclopentadiene,Corrosive to metals,Not classified,-,-,-,"Non-corrosive to metals (HSDB, 2005)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-01-2,silver chromate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
131-74-8,ammonium picrate,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Corrosive to metals,Classification not possible,-,-,-,No data available on corrosion to metals,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Corrosive to metals,Classification not possible,,,,Test methods applicable to solid substances are not available ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID723,Coal tar naphtha,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-46-7,p-Dichlorobenzene,Corrosive to metals,Classification not possible,,,,Classification not possible due to lack of data.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8018-01-7,"Complex compounds of manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate)",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: thermally decomposes at 190degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
532-27-4,2-chloroacetophenone,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
98-00-0,2-Furanmethanol,Corrosive to metals,Not classified,-,-,-,UNRTDG Class: 6.1,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100784-20-1,"Methyl 3-chloro-5-(4,6-dimethoxy-2-pyrimidinylcarbamoylsulfamoyl)-1-methylpyrazole-4-carboxylate",Corrosive to metals,Classification not possible,,,,"Test methods applicable to solid substances with melting point of >55degC are not available (melting point: 175.5-177.2degC (Agricultural Chemical Registration Data)). 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
86-88-4,antu,Corrosive to metals,Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
109-94-4,Ethyl formate,Corrosive to metals,Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,Corrosive to metals,Classification not possible,-,-,-,Test methods applicable to solid substances are not available.,"Dec. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
