CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Serious eye damage / eye irritation - Category 2B,,,,"Based on the description in the report on rabbit eye irritation tests (CERI-NITE Hazard Assessment No.57 (2005)): The substance causes mild irritation, if any, to the eyes.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-02-7,p-Nnitrophenol,Serious eye damage / eye irritation - Category 1,,,,"Based on the description in the report on rabbit eye irritation tests (CERI Hazard Data 2001-65 (2002) and ATSDR (1992)): ""Iris congestion, lens opacity, puruloid effusion,"" ""moderate to severe corneal opacity, bullous tissues of the conjunctiva and neovascularization in the cornea"" indicative of corrosivity.  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-21-0,Terephthalic Acid,Serious eye damage / eye irritation - Category 2B,,,,"Based on the description in the report on rabbit eye irritation tests (CERI Hazard Data 97-23 (1998), ACGIH (7th, 2001) and SIDS (2004)): ""non-irritating"" or ""slightly irritating."" The substance is thus considered a ""mild irritant.""","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Serious eye damage / eye irritation - Category 1,Corrosion,Danger,Causes serious eye damage,"Since there is the conclusion data of ""critical damage over an eye"" (CERI Hazard Data (2001)) and it was set to Category 1C on the skin, it was set as Category 1.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Serious eye damage / eye irritation - Category 1,,,,"Based on a report on rabbit eye irritation test results (ACGIH (7th, 2001)): ""focal corneal necrosis was observed.""","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Serious eye damage / eye irritation - Category 2B,,,,"Based on the evidence of rabbit eye irritation tests (EHC 186 (1996)) ""mild irritation to the conjunctiva, and no or reversible effects, if any, on the cornea."" The substance is thus considered slightly or mildly irritating to the eye.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Serious eye damage / eye irritation - Category 2A,,,,"Based on the description in the report on human epidemiological studies and rabbit eye irritation tests (CERI-NITE Hazard Assessment No.52 (2004): ""moderate irritation (for seven days).""","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Serious eye damage / eye irritation - Category 1,,,,"Based on the description of the human health effects (MOE Risk Assessment vol. 4 (2005)): ""The substance is corrosive to the eye. In the form of vapour, it causes irritation of the eye, skin and respiratory tract.""","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,Serious eye damage / eye irritation - Category 2A-2B,Exclamation mark,Warning,Causes serious eye irritation,"Since stimulus condition like the redness of a conjunctiva and conjunctiva dropsy is acknowledged as a result of the injections against eyes of rabbit (IUCLID (2000)), and there is the description that a human ocular is stimulated (ICSC (J), (1999), SITTIG (4th, 2002), and HSFS (2000)), it is set as Category 2A-2B. In addition, the detailed categorization from the acquired information is difficult.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Serious eye damage / eye irritation - Category 2B,,,,"Based on the description in the report on rabbit eye irritation tests (DFGOT Vol.17 (2002)): ""slightly irritative."" ","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-61-8,N-Methylaniline,Serious eye damage / eye irritation - Category 2A-2B,,,,"Based on human epidemiological findings (CERI Hazard Data 2001-2 (2002)): ""The substance, in the form of vapour or mist, has a potential for irritation of the eyes, mucous membrane and upper respiratory tract."" Also based on the evidence of ""reddening and pain"" (ICSC (1994)). Although classified into Category 2A-2B because the severity of irritation is unknown, the substance should be placed in Category 2A from the viewpoint of safety, if further subclassification is needed.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-63-0,phenyl hydrazine,Serious eye damage / eye irritation - Category 2A,Exclamation mark,Warning,Causes serious eye irritation,We classified it as Category 2A based on the description that serious purulent conjunctivitis was acknowledged in the test applied to the eyes of the rabbits (CICAD 19 (2000)).,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-69-6,2-Vinylpyridine,Serious eye damage / eye irritation - Category 2A,,,,"Based on the description in the report on eye irritation tests in rabbits and guinea pigs (CERI-NITE Hazard Assessment No.18 (2005) and PATTY (4th, 2000)): ""severely irritating.""","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-74-3,"Morpholine, 4-ethyl-",Serious eye damage / eye irritation - Category 2B,-,Warning,Causes eye irritation,"From statements that although a corneal edema was acknowledged in 40ppm, it recovered in several hours, and that although the stimulation was felt for the ophthalmic in 50-100ppm, the stimulation in 50ppm was small in humans (ACGIH (2001)), it was taken as Category 2B.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.13.7]decane; Hexamethylenetetramine",Serious eye damage / eye irritation - Category 2B,,,,"Based on the description of the human health effects (MOE Risk Assessment vol. 4 (2004) and DFGOT vol.5 (1993)): ""The substance slightly irritates the eye,"" though the results of rabbit eye irritation tests suggest no irritation (DFGOT vol.5 (1993)).
","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10022-31-8,Barium nitrate,Serious eye damage / eye irritation - Category 2A,,,,"The substance is classified into Category 2A as available eye irritation studies in rabbits provide no description of corrosivity, though they provide the evidence of ""severe irritation."" ","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10022-68-1,"Cadmium nitrate, tetrahydrate",Serious eye damage / eye irritation - Category 1,,,,"In accordance with the technical guideline, given the fact that the substance is classified into Category 1 of skin corrosion/irritation.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-67-9,Disulfur dichloride,Serious eye damage / eye irritation - Category 1,Corrosion,Danger,Causes serious eye damage,"It is described that when human eye was touched, ""important ocular burn"" would be caused, and its recovery took 14 months (IUCLID (2000)). Moreover, there are statements of ""corrosive"" and ""a permanent deficit is caused.""to a human eye (HSDB 2005). As mentioned above, it was judged that it had irreversible impacts and it was set as Category 1.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-78-2,"Silane, trichloro-",Serious eye damage / eye irritation - Category 1,Corrosion,Danger,Causes serious eye damage,"In ICSC(J)(2002) and HSFS (1999), there is a statement that corrosion to the human eye is caused, and in HSDB (2002), there is a statement that thermal burn to the human eye is caused. So it was set as Category 1.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10025-87-3,Phosphoryl trichloride,Serious eye damage / eye irritation - Category 1,Corrosion,Danger,Causes serious eye damage,"This product is a skin corrosive substance. With a rabbit, there is a statement of strong eye stimulativeness and a strong necrosis, and loss of eyesight (IUCLID (2000), GESTIS (2005)), and with humans,  there is a statement of strong eye stimulativeness, corrosiveness, and loss of eyesight is (ACGIH (7th, 2001), ICSC (J), (2002), HSDB (2005)). So it was set as Category 1.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
