CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
78-78-4,"Butane, 2-methyl-",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
23950-58-5,"3,5-dichloro-N-(1,1-dimethyl-2-propynyl)benzamide",Flammable aerosols,Not applicable,,,,Not aerosol products ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
57-74-9,"chlordane , pur",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
116-14-3,Tetrafluoroethylene,Flammable aerosols,Not applicable,,,,Not aerosol products,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
74-98-6,Propane,Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Mar. 23, 2006"
2310-17-0,"O,O-Diethyl S-(6-chloro-2,3-dihydro-2-oxobenzoxazolinyl)methyl phosphorodithioate; Phosalone",Flammable aerosols,Not applicable,,,,Not aerosol products,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
782-74-1,"1,2-Bis(2-chlorophenyl)hydrazine",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,2009.3.31
12071-83-9,"Polymer of N,N'-propylenebis(dithiocarbamic acid) and zinc",Flammable aerosols,Not applicable,,,,Not aerosol products ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
3309-87-3,Fujithion,Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
133-06-2,"1,2,3,6-tetrahydro-N-(trichloromethylthio)phthalimide",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1806-26-4,p-Octylphenol,Flammable aerosols,Not applicable,,,,Not aerosol products,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
612-83-9,"N,N'-(3,3'-Dichlorobiphenyl-4,4'-diyl)diammonium dichloride",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,2009.3.31
89269-64-7,"(Z)-2'-methylacetophenone 4,6-dimethyl-2-pyrimidinylhydrazone",Flammable aerosols,Not applicable,,,,Not aerosol products ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
59-89-2,N-Nitrosomorpholine,Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
107-15-3,Ethylenediamine,Flammable aerosols,Not applicable,,,,Not aerosol products,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
94-59-7,"5-Allyl-1,3-benzodioxole",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,2009.3.31
99-09-2,m-Nitroaniline,Flammable aerosols,Not applicable,,,,Not aerosol products ,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
94-75-7,"2,4-Dichlorophenoxyacetic acid",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
2346-99-8,"Methylcyclohexyl-4-chlorophenylthiophosphate
",Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10034-96-5,Manganese sulphate monohydrate,Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-67-9,Disulfur dichloride,Flammable aerosols,Not applicable,-,-,-,Not aerosol products,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
122-39-4,Diphenylamine,Flammable aerosols,Not applicable,,,,Not aerosol products,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
