CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-37-8,"Ethanol, 2-(diethylamino)-",Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,"Flash point: 52degC, Boiling point: 163degC","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Flammable liquids - Category 2,,,,"The flash point is 16degC (c.c.) and the boiling point is 130degC (ICSC (2004)), which is classified as Category 2.  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Flammable liquids - Category 2,,,,"The flash point is 18degC (c.c.) (ICSC, 1999) and the boiling point is 136degC, which is classified into Category 2. Classified into Class 3 and Packing Group II (UN#1175) (UN Recommendations on the Transport of Dangerous Goods)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Flammable liquids - Category 3,,,,"The flash point is 31degC (c.c.) (ICSC, 1999) which is classified into Category 3. Those containing stabilizers are classified into Class 3 and Packing Group III (UN#2055) (UN Recommendations on the Transport of Dangerous Goods)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Flammable liquids - Category 4,,,,"The flash point is 67degC (c.c.) (ICSC, 2004), which is classified into Category 4.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,Flammable liquids - Category 4,-,Warning,Combustible liquid,"Flash point: 75degC(C.C.) (ICSC(J), 1999).","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Flammable liquids - Category 4,,,,"The flash point is 62degC (ICSC (1999)), which is classified into Category 4.","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-61-8,N-Methylaniline,Flammable liquids - Category 4,,,,"The flash point is 79.5degC (c.c.) (ICSC (2002)), which is classified into Category 4.  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-63-0,phenyl hydrazine,Flammable liquids - Category 4,-,Warning,Combustible liquid,Flash point: >60degC and <=93degC,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-69-6,2-Vinylpyridine,Flammable liquids - Category 3,,,,"The flash point is 42degC (ICSC (2000)), which is classified into Category 3. Those containing stabilizers are classified into Class 3, Division 6.1 and Class 8 (UN#3073) (UN Recommendations on the Transport of Dangerous Goods).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-74-3,"Morpholine, 4-ethyl-",Flammable liquids - Category 3,Flame,Warning,Flammable liquid and vapour,Category 3 because of its flash point: 32 to 38degC,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-78-2,"Silane, trichloro-",Flammable liquids - Category 1,Flame,Danger,Extremely flammable liquid and vapour,"UNRTDG No. 1295, Class: 4.3(3, 8); PG II. Flash point:< 23degC.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
102-27-2,"m-Toluidine, N-ethyl-",Flammable liquids - Category 4,-,Warning,Combustible liquid,"Category 4 because of its flash point: 93degC (Guidance of poison deleterious substance handling, JijiPress Ltd. Latest ed., 2001)","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
