CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
10024-97-2,Dinitrogen oxide,Gases under pressure - Compressed gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Transported as refrigerated liquefied gases (UNRTDG),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10034-85-2,hydrogen iodide,Gases under pressure - Liquefied gas(Low pressure liquefied gas),Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Low pressure liquefied gas because of ""the critical temp: 151.0degC"" (Merck, 13th, 2001) and the boiling point: -35.1degC (at 1atm).","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10035-10-6,Hydrobromic acid,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Liquefied gas because of the critical temp: >65degC and the steam pressure: >3 atm at 20degC. ,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-43-9,Nitrogen monoxide,Gases under pressure - Compressed gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Transported as refrigerated liquefied gases (UNRTDG),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-44-0,nitrogen dioxide,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
10294-34-5,boron trichloride,Gases under pressure - Liquefied gas(Low pressure liquefied gas),Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Low pressure liquefied gas because of ""the critical temp: 178degC"" (HSDB, 2002)","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
106-97-8,Butane,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Mar. 23, 2006"
106-99-0,"1,3-Butadiene",Gases under pressure - Liquefied gas,,,,"The boiling point is -4degC (ICSC 2004), and the critical temperature is 161.8degC (HSDB (2005)) - i.e., liquefied gas. Those containing stabilizers are classified into Division 2.1 (UN#1010)(UN Recommendations on the Transport of Dangerous Goods)
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
116-14-3,Tetrafluoroethylene,Gases under pressure - Liquefied gas,,,,"The boiling point is -75.9degC (Lide (84th, 2003)) and the critical temperature is 33.3degC (HSDB (2006)) - i.e., ""liquefied gas.""  Those containing stabilizers are classified into Division 2.1 (UN#1081) (UN Recommendations on the Transport of Dangerous Goods).
","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
124-40-3,Dimethylamine,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1320-37-2,Dichlorotetrafluoroethane,Gases under pressure - Liquefied gas,,,,"The boiling point is 3.4degC (Lide (84th, 2003)) and the critical temperature is 145.6degC (HSDB (2006)), i.e., ""liquefied gas"" (1,1-form). 
The boiling point is 4.1degC (ICSC (1999)) and the critical temperature is 145.7degC (Merck (13th, 2001)), i.e., ""liquefied gas"" (1,2-form).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-74-0,Hydrogen,Gases under pressure - Compressed gas or Refrigerated liquefied gas,Gas cylinder,Warning,"Contains gas under pressure; may explode if heated
Contains refrigerated gas; may cause cryogenic burns or injury","According to its physical state when packed, classified in; 
Compressed gas: entirely gaseous at -50degC or critical temp <-50degC or, 
Refrigerated liquefied gas: partially liquid because of its low temperature","Mar. 23, 2006"
1333-86-4,Carbon black,Gases under pressure - Not applicable(Materials of animal or vegetable origin and mineral origin),-,-,-,Solid (GHS definition),"Jun. 20, 2006"
144-54-7,N-methyldithiocarbamic acid,Gases under pressure - Not applicable (ammonium salt),,,,"Classified as ""solid"" according to GHS definition. The free acid cannot be classified due to lack of data.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
19287-45-7,diborane(6),Gases under pressure - High pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Compressed gas because of ""the steam pressure: 3999kPa at 17degC"" (HSDB, 2006) and "">280kPa at 20degC"" (GHS definition). High pressure liquefied gas because of the critidal temp: 16.7degC""(HSDB, 2006: ICSC(J), 1990) which is between -50degC and 65degC. ","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
22441-45-8,arsenic pentachloride,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Not specified whether it is a high or low pressure liquefied gas, due to lack of data on a critical temp, though it seems to be stable in a liquid state at extremely low temperature (about -50degC)","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
25167-80-0,chlorophenol,"Gases under pressure - Not applicable (o, m, p-)",-,-,-,"Not Gas (GHS definition) (o, m, p-)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
2699-79-8,sulphuryl difluoride,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Liquefied gas because of ""the critical temp: -20 or 96degC"" (HSDB, 2002).","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
2837-89-0,"2-Chloro-1,1,1,2-tetrafluoroethane; HCFC-124",Gases under pressure - Liquefied gas,,,,"The boiling point is -12degC (Lide (84th, 2003)), and the critical temperature is 122.2degC (HSDB (2006)) - i.e., liquefied gas. ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
353-50-4,carbonyl difluoride,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Compressed liquedfied gas according to a report, though the critical temprature is unknown (ICSC(J), 2003)","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
353-59-3,Bromochlorodifluoromethane; Halone-1211,Gases under pressure - Liquefied gas,,,,"The boiling point is -4degC (ICSC (1999)), and the critical temperature is 154degC (Lide (84th, 2003)), i.e., ""Liquefied gas."" Classified into Division 2.2 (UN#1974) (UN Recommendations on the Transport of Dangerous Goods)","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
460-19-5,oxalonitrile,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Liquefied gas because of ""the steam pressure: 11.5 atm at 50degC""(GESTIS, 2006) which is >3 atm, and ""the critical temp: 128.3degC"" (HSDB, 2005) which is >65degC","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
463-51-4,Ketene,Gases under pressure - Low pressure liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Critical temp: 380degC (Lange, 16th, 2005)","Jun. 20, 2006 (Environmental Hazards: Jan. 25, 2007)"
50-00-0,Formaldehyde,"Gases under pressure - Liquefied gas (gas), Not applicable (aqueous solution)",,,,"Classified as ""liquefied gas,"" based on the description in ICSC (2004) (boiling point: -20degC) and HSDB (2005) (critical temperature: 137.2-141.2degC). There is no applicable substance listed in the UN Recommendations on the Transport of Dangerous Goods (gas). Classified as ""liquid"" according to GHS definition (aqueous solution)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
506-77-4,cyanogen chloride,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Critical temp: 215degC (AIR LIQUIDE, Safety Data Sheet, 31/07/2002)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
593-60-2,bromoethylene,Gases under pressure - Liquefied gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Critical temp: >-50degC (Partially liquid at temperatures above -50degC),"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
624-91-9,methyl nitrite,Gases under pressure - Liquefied gas(Low pressure liquefied gas),Gas cylinder,Warning,Contains gas under pressure; may explode if heated,"Low pressure liquefied gas because of ""the melting point: -16degC and the boiling point: -12degC"" (Lide, 85th, 2004)","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
630-08-0,Carbon monoxide,Gases under pressure - Compressed gas,Gas cylinder,Warning,Contains gas under pressure; may explode if heated,Transported as compressed gases because of the critical temp: <-140degC. ,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
