CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Germ cell mutagenicity,Category 2,,,,"Based on the absence of data on germ cell multi-generation mutagenicity tests and mutagenicity tests in vivo, positive data on somatic cell mutagenicity tests in vivo (micronucleus tests) and the absence of data on germ cell genotoxicity tests in vivo, described in CERI-NITE Hazard Assessment No.57 (2004).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-42-5,Styrene,Germ cell mutagenicity,Category 2,,,,"Based on the absence of data on germ cell multi-generation mutagenicity/mutagenicity tests in vivo, positive data on somatic cell mutagenicity tests in vivo (chromosome aberration tests, micronucleus tests), and the absence of data on germ cell genotoxicity tests in vivo (As for positive data on DNA single-strand break analysis (No.36) of the brain, liver, kidneys, lungs and testes of a mouse, an analysis was conducted exclusively on germ cells - the results of which are considered ""ambiguous"" by experts.), described in ACGIH (7th, 2001) and CERI-NITE Hazard Assessment No.52 (2004)
","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-63-0,phenyl hydrazine,Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"There is a positive result by the micronucleus test (CICAD 19, 2000, PATTY 4th, 1994) which used the mouse red corpuscles, which are the in vivo mutagenicity tests using a somatic, and the chromosome aberration test (ACGIH 7th, 2001) using mouse bone marrow, and there was no result positive by the in vivo genotoxicity study using a germ cells. So it was set as Category 2.   ","Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-91-9,Antimony trichloride,Germ cell mutagenicity,Category 2,,,,"Based on the absence of data on germ cell multi-generation mutagenicity tests in vivo, germ cell mutagenicity tests in vivo, somatic cell mutagenicity tests in vivo, and germ cell genotoxicity tests in vivo, and the positive data on somatic cell genotoxicity tests in vivo, described in HSDB (2003), and the positive data on mutagenicity tests in vitro, described in RTECS (2005).
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10028-15-6,ozone,Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"Based on the positive result (EHC 7 (1979)) in the Chinese hamster somatic cell in vivo mutagenicity test (chromosomal aberration test), we classified it as Category 2.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10031-13-7,lead arsenite,Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"There is no this product data, chromosome aberration or micronucleus is induced to humans (peripheral blood) or rodents (marrow) as an inorganic arsenic compound (DFGOT vol.21, 2005; EHC 224, 2001; PATTY 5th, 2001; IARC Suppl.7, 1987; IARC 84, 2004; ATSDR draft, 2005). And a lead (inorganic lead compound) induces a human heterochromosome in ATSDR, and the inorganic arsenic compound and the inorganic lead compound are classified into 3A in MAK/BAT(2005). So it is set as 2. In addition, the inorganic arsenic (As+3) was negative in the dominant fatality examination and the mouse energy proto-cell chromosomal aberration test (ATSDR draft, 2005). ","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
10034-93-2,Hydrazine sulfate,Germ cell mutagenicity,Category 2,Health Hazard,Warning,Suspected of causing genetic defects,"Although in vivo genotoxicity test (sister chromosome fission exchange test employing a mouse) is negative (BUA 205 (1996)), in vitro mutagenicity test employing a Salmonella typhimurium is positive (EHC 68 (1987)), and there is a description of methylation (IARC 71 (1999)) of DNA in the body cell in vivo genotoxicity test employing a hamster. Although there is no data of in vivo mutagenicity test as sulfate, as hydrochloride salt (CAS number 2664-70-4), it is positive in body cell in vivo mutagenicity test (mouse spot test) (CERI/NITE Hazard Assessment Report (2004)). Although the water solubility of this substance was 1/10 of Hydrazine hydrochloride, it was considered that the affection comparable to that of Hydrazine hydrochloride reaches on a cell, and it was classified into Category 2. ",2009.3.31
10034-96-5,Manganese sulphate monohydrate,Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"There is a positive result (DFGOT vol.12, 1999) by the chromosome aberration test using the mouse marrow cells ,which are the in vivo mutagenicity tests using a somatic, but there is no positive result by the in vivo genotoxicity study using the germ cells. So it is set as Category 2.   ","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10045-94-0,mercury dinitrate,Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"In ATSDR (1999), since it estimated that mercury and mercury compounds induced chromosomal abnormality to the animal somatic cell in an in vivo, they were set to Category 3.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10049-04-4,Chlorine dioxide,Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"There are negative result with dominant lethal test on mice (CICAD 37, 2002), negative result with chromosome aberration test on mouse marrow cells, which is an in vivo mutagenicity test using somatic cells (CICAD 37, 2002, ATSDR, 2004, IRIS, 2006), and negative result with micronucleus test by oral administration which used the mouse erythrocytes (CICAD 37, 2002, ATSDR, 2004, IRIS, 2006). But there is a positive result with micronucleus test which used the mouse erythrocytes by the medication in the abdominal cavity (ACGIH 7th, 2001, PATTY 4th, 1994, ATSDR, 2004, IRIS, 2006), and there was no positive result with productive cell in vivo genotoxicity study. So it was classified as Category 2. ","Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Germ cell mutagenicity,Category 2,,,,"Based on the absence of data on multi-generation mutagenicity tests, germ/somatic cell mutagenicity tests in vivo and germ cell genotoxicity tests in vivo, and positive data on somatic cell genotoxicity tests in vivo (SCE tests) and mutagenicity tests in vitro (gene mutation tests), described in DFGOT vol.17 (2002).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-14-4,"3,3'-Dichloro-4,4'-diaminodiphenylmethane",Germ cell mutagenicity,Category 2,,,,"Based on the absence of data on heritable mutagenicity tests and germ cell mutagenicity and genotoxicity tests in vivo and positive data on somatic cell mutagenicity tests in vivo (micronucleus tests), described in CERI-NITE Hazard Assessment No.33 (2005), IARC 57 (1993) and NTP DB (Access on Dec., 2005).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
101-77-9,"4,4'-Methylenedianiline",Germ cell mutagenicity,Category 2,,,,"Based on the absence of data on multi-generation mutagenicity tests, germ cell mutagenicity tests in vivo and germ cell genotoxicity tests in vivo, and positive data on somatic cell mutagenicity tests in vivo (micronucleus tests, chromosome aberration tests), described in NTP DB (Access on Mar., 2006), EU-RAR No.9 (2001), SIDS (2002) and ATSDR (1998).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-90-6,"m-bis(2,3-epoxypropoxy)benzene",Germ cell mutagenicity,Category 2,Health hazard,Warning,Suspected of causing genetic defects (state route of exposure if it is conclusively proven that no other routes of exposure cause the hazard),"There is a positive result (NTP DB, Access on Oct 2005) by the micronucleus examination and chromosomal aberration test, which use the mouse marrow cells, and which are the in vivo mutagenicity tests using a somatic cell, and there is no positive result by the in vivo genotoxicity study using a germ cell. So it was set as Category 2. ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
