CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Explosives - Not classified,,,,"Containing nitro groups, with the oxygen budget calculated at -122. However, No data available on kick-off temperatures and decomposition energy. Not classified, based on the classification by UN Recommendations on the Transport of Dangerous Goods (Division 6.1, UN#1578)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-01-6,"Aniline, 4-nitro-",Explosives - Not classified,-,-,-,UNRTDG Class: 6.1,"Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
100-02-7,p-Nnitrophenol,Explosives - Not classified,,,,"Because of a lack of data, though the substance contains nitro groups with its oxygen budget calculated at -132 and a rapid decomposition increases pressure, according Bretherick (J) (5th,1998). Classified into Division 6.1 (UN#1663 Nitrophenol) (UN Recommendations on the Transport of Dangerous Goods).  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-63-0,phenyl hydrazine,Explosives - Not classified,-,-,-,UNRTDG Class: 6.1,"Aug. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
10022-31-8,Barium nitrate,Explosives - Not classified,,,,"No data available though being nitrates, containing chemical groups with explosive properties. Classified into Divisions 5.1 and 6.1 (UN#1446) (UN Recommendations on the Transport of Dangerous Goods)","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10031-43-3,cupric nitrate,Explosives - Not classified,-,-,-,"Not Classified because the substance is not explosive solely, though containing N-O as chemical groups associated with explosive properties present.  (It might explode if mixed with Potassium ferrocyanide, or etc.)","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10034-93-2,Hydrazine sulfate,Explosives - Not classified,-,-,-,"Although it is hydrazine salt, it has been classified into Class 8 and PG III in the United Nations Recommendations on the Transport of Dangerous Goods and was classified into Not classified. 
In addition, this TDG classification is based on the UN No.2923 by Merck KGaA data from March 2009. ",2009.3.31
10045-94-0,mercury dinitrate,Explosives - Not classified,-,-,-,"Not Classified because of UNRTDG No. 1625, Class: 6.1, II and not explosive solely, though the substance contains N-O bonds as chemical groups associated with explosive properties present. (Reactions of the substance with several kinds of compounds such as acetylenes or ethanols lead to explosive products.)","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Explosives - Not classified,,,,"No data available though being nitrates, containing chemical groups with explosive properties. Classified into Division 5.1 and Division 6.1 (UN#1469) (UN Recommendations on the Transport of Dangerous Goods) ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-45-1,Thallium nitrate,Explosives - Not classified,,,,"No data available though being nitrates, containing chemical groups with explosive properties. Classified into Divisions 5.1 and 6.1 (UN#2727) (UN Recommendations on the Transport of Dangerous Goods).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
102-54-5,ferrocene,Explosives - Not classified,-,-,-,"Fireproofing agents and not explosive products, though containing Fe-C bonds.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10415-75-5,dimercury dinitrate,Explosives - Not classified,-,-,-,"Not classified because of UNRTDG No. 1627, Class: 6.1, II and non-explosive solely, though the substance contains N-O bonds as chemical groups associated with explosive properties present. (Compounds with phosphorus or heated carbon are explosive.) ","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
105827-78-9,1-[(6-Chloro-3-pyridyl)methyl]imidazolidine-2-(N-nitro)imine,Explosives - Not classified,-,-,-,"Not Classified because of ""The exothermic decomposition energy is lower than 300J/g and the exothermal temperature of decomposition starts lower than 500degC""(Agricultural Chemicals Registration Data, Bayer CropScience), though the substance contains nitrogen atoms adjacent to each other and N-O bonds as chemical groups associated with explosive properties present and has the oxygen balance calculated at -128.3, higher than -200 of the criteria.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-03-2,"Propane, 1-nitro-",Explosives - Not classified,-,-,-,UNRTDG Class: 3,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-83-8,Cyclohexene,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG Class: 3, though containing unsaturated C-C bonds as chemical groups associated with explosive properties present.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
112410-23-8,"N-tert-butyl-N'-(4-ethylbenzoyl)-3,5-dimethylbenzohydrazide",Explosives - Not classified,,,,"Being a hydrazine compound, the substance contains chemical groups with explosive properties, but its oxygen budget is calculated at -254, that is ""Not classified.""
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
118-52-5,"2,4-Imidazolidinedione, 1,3-dichloro-5,5-dimethyl-",Explosives - Not classified,-,-,-,"Not used as explosives, though containing chemical groups associated with explosive properties present.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
121-14-2,"2,4-Dinitrotoluene",Explosives - Not classified,,,,"Because of a lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups, with its oxygen budget calculated at -144). Classified into Divisiton 6.1 (UN#1600 dinitrotoluene (molten)) (UN Recommendations on the Transport of Dangerous Goods). Commercial dinitrotoluene, which contains about 20% of 2,6-dinitrotoluene, starts to decompose at 250degC -- a process that continues at 280degC (Bretherick (J), 5th, 1998). The decomposition energy stands at about 85% of that of TNT (2,4,6-trinitrotoluene) (5.1kJ/g) (Bretherick (J), 5th, 1998), according to some reports. 
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
121-87-9,2-Chloro-4-nitroaniline,Explosives - Not classified,-,-,-,"Although the nitro group is included in chemical structure and the calculation value of oxygen balance is -116, there is no data of onset of exothermic decomposition and decomposition energy. Since it was classified into Class 6.1 and PG III in the United Nations Recommendations on the Transport of Dangerous Goods (UN No.2237(ICSC,2000)), it was classified into Not classified.",2009.3.31
124-43-6,hydrogen peroxide--urea,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG No. 1511, Class: 5.1(8), PGIII, though containing nitrogen atoms adjacent to each other as chemical groups associated with explosive properties present.","Jun. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
126-99-8,Chloroprene,Explosives - Not classified,-,-,-,"UNRTDG Class: 3, Subsidiary risks Class: 6.1 ","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
129558-76-5,N-[4-(p-Tolyloxy)benzyl]-1-methyl-3-ethyl-4-chloro-1H-pyrazole-5-carboxamide,Explosives - Not classified,-,-,-,"Not classified because of the oxygen balance calculated at -210.5, lower than -200 of the criteria, though containing nitrogen atoms adjacent to each other as chemical groups associated with explosive properties present.","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
1304-29-6,barium peroxide,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG No. 1449, Class: 5.1(6.1), PGIII, though containing nitrogen atoms adjacent to each other as chemical groups associated with explosive properties present.","Mar. 15, 2007 (Environmental Hazards: Mar. 23, 2006)"
1313-60-6,disodium peroxide,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG No. 1504, Class: 5.1, PGII, though containing nitrogen atoms adjacent to each other as chemical groups associated with explosive properties present.","Mar. 23, 2006"
13138-45-9,Nickel dinitrate,Explosives - Not classified,,,,"No data available though being nitrates, containing chemical groups with explosive properties. Classified into Division 5.1 (UN#2725) (UN Recommendations on the Transport of Dangerous Goods). ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1335-31-5,dimercury dicyanide oxide,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG No. 1642 (containing a hebetude medicine), Class: 6.1, PGIII. To put a hebetude medicine prevents the substance from exploding.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1335-85-9,Dinitro-2-methylphenol,Explosives - Not classified,-,-,-,"Not classified because of UNRTDG No. 1598, Class: 6.1, PG II (not Class: 1.1to 1.6), though the substance contains N-O as chemical groups associated with explosive properties present.  
(Note: It is a generic name of not a single substance but isomers of Dinitro-o-cresol; 4,6-Dinitro-o-cresol (ID No.0078, CAS No.534-52-1), 3, 5-Dinitro-o-cresol, and 2, 6-Dinitro-o-cresol), which are expected to have different properties.) ","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
1338-23-4,"2-Butanone, peroxide",Explosives - Not classified,-,-,-,"UNRTDG No. 3105, Class: 5.2","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
13477-00-4,barium chlorate,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG No. 1445, Class: 5.1(6.1), PGIII, though containing O-Halogen bonds as chemical groups associated with explosive properties present.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
140-56-7,Fenaminosulf,Explosives - Not classified,-,-,-,"Not classified because of no data on the explosibility, though the substance contains nitrogen atoms adjacent to each other as chemical groups associated with explosive properties present and has its oxygen balance calculated at -114.6, higher than -200 of the criteria.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
141-32-2,Butyl acrylate,Explosives - Not classified,-,-,-,"Not classified based on UNRTDG Class: 3, though containing unsaturated C-C bonds as chemical groups associated with explosive properties present.","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
141-79-7,"3-Penten-2-one, 4-methyl-   (Mesityl oxide)",Explosives - Not classified,-,-,-,"Not classified based on UNRTDG Class: 3, though containing unsaturated C-C bonds as chemical groups associated with explosive properties present.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
155569-91-8,Emamectin benzoate,Explosives - Not classified,-,-,-,"Not classified because of the oxygen balance calculated at -221.2, lower than -200 of the criteria, though containing N-O bonds as chemical groups associated with explosive properties present.","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1615-80-1,"1,2-diethylhydrazine",Explosives - Not classified,-,-,-,"As the similar property to the N,N'-Diethylhydrazine's, Sym-Dimethylhydrazine: UNRTDG No. 2382, Class: 6.1, Subsidiary risks Class: 3, P, PG I (not Class: 1, explosives). N,N'-Diethylhydrazine is expected not to be explosives solely. ","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1643-20-5,"N,N-Dimethyldodecylamine N-oxide",Explosives - Not classified,,,,"Not classified as explosives with its oxygen budget calculated at -296, though the substance is an N-oxide containing chemical groups with explosive properties","Jun. 20, 2006 (Environmental Hazards: Jan. 25, 2007)"
17014-71-0,dipotassium peroxide,Explosives - Not classified,-,-,-,"UNRTDG No. 1491, Class: 5.1","May 24, 2006 (Environmental Hazards: Mar. 23, 2006)"
20816-12-0,osmium tetraoxide,Explosives - Not classified,-,-,-,"Not an explosive substance, though containing metal- oxygen (Os-O) bonds.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
2104-64-5,O-Ethyl O-4-nitrophenyl phenylphosphonothioate; EPN,Explosives - Not classified,,,,"Cannot be classified due to lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups, with its oxygen budget calculated at -153). Classified into Division 6.1 (UN#2783 (Organophosphorus Pesticide, solid, toxic) (ICSC,1999)) (UN Recommendations on the Transport of Dangerous Goods).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
2312-35-8,2-(4-tert-butylphenoxy)cyclohexyl 2-propynyl sulfite,Explosives - Not classified,,,,"Being an acetylene compound, the substance contains chemical groups with explosive properties, but its oxygen budget is calculated at -214, that is ""Not classified.""
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
25154-54-5,"Benzene, dinitro-",Explosives - Not classified,-,-,-,"Not classified in UNRTDG Class: 1, though containing nitro groups.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25321-14-6,Dinitrotoluene,Explosives - Not classified,,,,"Because of a lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups with its oxygen budget calculated at -114. 2,6-DNT, 3,4-DNT and 2,4-DNT may explode if heated according to ICSC (2004)).
Classified as Division 6.1 (UN#3454 (solid) and 1600 (molten)) (UN Recommendations on the Transport of Dangerous Goods). Commercial 2,4-DNT, which contains about 20% of 2,6-DNT, starts to decompose at 250degC -- a process that continues at 280degC (Bretherick (J), 5th, 1998). The decomposition energy stands at about 85% of that of TNT (2,4,6-trinitrotoluene) (5.1kJ/g) (Bretherick (J), 5th, 1998), according to some reports (NFPA, 13th, 2002). 
","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
25322-01-4,Nitropropanes,Explosives - Not classified,-,-,-,UNRTDG Class: 3,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
