CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
10022-68-1,"Cadmium nitrate, tetrahydrate",Explosives - Classification not possible,,,,"Classification not possible due to lack of data, though containing unsaturated bonds and a distorted ring structure.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10325-94-7,Cadmium nitrate,Explosives - Classification not possible,,,,"Classification not possible due to lack of data, though being nitrates and containing chemical groups with explosive properties","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106917-52-6,"2',4-Dichloro-alpha,alpha,alpha-trifluoro-4'-nitro-m-toluenesulfonanilide; Flusulfamide",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the decomposition energy, though the substance contains nitro groups with its oxygen budget calculated at  -98, and decomposes at 250degC (Agricultural Chemical Registration Data). ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-19-7,2-Propyn-1-ol,Explosives - Classification not possible,-,-,-,"No data available, though the oxygen balance is in the boundary value of ""Classified"" or ""Not"".","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
109-84-2,2-hydrazinoethanol,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data on an explosibility, though the substance contains nitrogen atoms adjacent to each other bonds as chemical groups with explosive properties present.","Jan. 23, 2007 (Environmental Hazards: Mar. 31, 2006)"
122-14-5,Fenitrothion,Explosives - Classification not possible,-,-,-,Insufficient data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
129-15-7,2-methyl-1-nitroanthraquinone,Explosives - Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
131-72-6,"Mixture of 2,4-dinitro-6-octylphenyl crotonate and 2,6-dinitro-4-octylphenyl crotonate (octyl=1-methylheptyl,1-ethylhexyl,1-propylpentyl); Dinocap; DPC",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on decomposition energy, though the substance contains nitro groups with its oxygen budget calculated at -184. According to ICSC (2004), Dinocap (mixing ratio of isomers unknown) may decompose when heated above 32degC.","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
131-89-5,dinex,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -156.2, higher than -200 of the criteria.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
13520-83-7,"Uranyl nitrate, hexahydrate",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains N-O bonds as chemical groups associated with explosive properties present and ""A violent impact to the substance might cause an explosion with a spread of the shock wave. "" (Merck, 13th, 2001)","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
137-05-3,mecrilate,Explosives - Classification not possible,-,-,-,No data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1395-21-7,"Subtilisins, as crystalline active enzyme",Explosives - Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
148-01-6,dinitolmide,Explosives - Classification not possible,-,-,-,No data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1582-09-8,"alpha,alpha,alpha-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the kick-off temperature and decomposition energy, though the substance contains nitro groups with its oxygen budget calculated at  -143. 
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1587-41-3,Dichlorodinitromethane,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains N-O bonds as chemical groups with explosive properties present and explodes with heating (Sax, 11th, 2004).","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
16219-75-3,"2-Norbornene, 5-ethylidene-",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains unsaturated C-C bonds as chemical groups associated with explosive properties present.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1694-09-3,"[4-[[4-(dimethylamino)phenyl][4-[ethyl(3-sulphonatobenzyl)amino]phenyl]methylene]cyclohexa-2,5-dien-1-ylidene](ethyl)(3-sulphonatobenzyl)ammonium, sodium salt",Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
17420-30-3,2-Amino-5-nitrobenzonitrile,Explosives - Classification not possible,,,,Classification not possible due to lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups with its oxygen budget calculated at -142).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
175013-18-0,N-[2-[1-(4-Chlorophenyl)-1H-pyrazole-3-yloxymethyl]phenyl]-N-methoxycarbamic acid methyl ester,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains nitrogen atoms adjacent to each other and N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -175.3, higher than -200 of the criteria.","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
18854-01-8,"O,O-Diethyl O-5-phenyl-3-isoxazolyl phosphorothioate; Isoxathion",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the decomposition energy, though being 1,2-oxazols containing chemical groups with explosive properties. The substance has the oxygen budget calculated at -153, and decomposes at 160degC (HSDB (2006))
","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2039-87-4,o-chlorostyrene,Explosives - Classification not possible,-,-,-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
2179-59-1,allyl propyl disulphide,Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains unsaturated C-C bonds as chemical groups associated with explosive properties present.","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
23135-22-0,"N',N'-dimethylcarbamoyl(methylthio)methylenamine N-methylcarbamate",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -142.3, higher than -200 of the criteria.","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
23950-58-5,"3,5-dichloro-N-(1,1-dimethyl-2-propynyl)benzamide",Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the kick-off temperature and decomposition energy, though being an acetylene compound containing a triple bond, with its oxygen budget calculated at -178.
","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
2784-94-3,"2,2'-[[4-(methylamino)-3-nitrophenyl]imino]bisethanol",Explosives - Classification not possible,-,-,-,No data available,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
298-00-0,"Parathion, methyl-",Explosives - Classification not possible,-,-,-,No data available,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
31218-83-4,isopropyl 3-[[(ethylamino)methoxyphosphinothioyl]oxy]crotonate,Explosives - Classification not possible,-,-,-,"Not classified because of no appropriate data, though the substance contains unsaturated C-C bonds as chemical groups associated with explosive properties present and has its oxygen balance calculated at -173.5, higher than -200 of the criteria.","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3209-22-1,"1,2-Dichloro-3-nitrobenzene",Explosives - Classification not possible,,,,"Classification not possible due to lack of data, though the substance contains nitro groups, with its oxygen budget calculated at -96
","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3281-96-7,"3,5-Dibromo-4'-nitroazobenzen-4-ol",Explosives - Classification not possible,-,-,-,"Classification not possible due to lack of data and without UNRTDG Number, though the substance contains N-O bonds as chemical groups with explosive properties present and has the oxygen balance calculated at -97.8, higher than -200 of the criteria.","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3570-75-0,2-(2-Formylhydrazino)-4-(5-nitro-2-furyl)thiazole,Explosives - Classification not possible,-,-,-,No data available,"Dec. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
3618-72-2,"5'-[N,N-Bis(2-acetyloxyethyl)amino]-2'-(2-bromo-4,6-dinitrophenylazo)-4'-methoxyacetanilide",Explosives - Classification not possible,,,,Classification not possible due to lack of data on the kick-off temperature and decomposition energy (though the substance contains nitro groups with its oxygen budget calculated at -124).,"Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
36335-67-8,O-Ethyl O-(6-nitro-m-tolyl) sec-butylphosphoramidothioate; Butamifos,Explosives - Classification not possible,,,,"Classification not possible due to lack of data on the decomposition energy, though the substance contains nitro groups with its oxygen budget calculated at  -156, and decomposes at about 230degC (Agricultural Chemical Registration Data).","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
