CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
10024-97-2,Dinitrogen oxide,Oxidizing gases,Category 1,Flame over circle,Danger,May cause or intensify fire; oxidizer,"Oxidizing because of UNRTDG Subsidiary risks Class: 5.1 and GHS, 1st, P.58 (2.4.4.2)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10028-15-6,ozone,Oxidizing gases,Category 1,Flame over circle,Danger,May cause or intensify fire; oxidizer," The coefficient of oxygen equivalency (oxygen atom 1.0) times the volume percentage(100vol%) is 100, which is over 21 (the reference value of ISO-10156).
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-43-9,Nitrogen monoxide,Oxidizing gases,Category 1,Flame over circle,Danger,May cause or intensify fire; oxidizer,"Categoly 1 by the definition on GHS, 1st, P58 (the coefficient of oxygen equivalency is 0.3 and 100% of gas is 30, larger than 21)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-44-0,nitrogen dioxide,Oxidizing gases,Category 1,Flame over circle,Danger,May cause or intensify fire; oxidizer,"UNRTDG Class: 2.3, Subsidiary risks Class: 5.1","Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
10605-21-7,carbendazim(ISO),Oxidizing gases,,,,,0.0,2008.03.26
110-71-4,"1,2-dimethoxyethane",Oxidizing gases,,,,,0.0,2008.03.17
110-88-3,"1,3,5-trioxan",Oxidizing gases,,,,,0.0,2008.03.26
111-77-3,2-(2-methoxyethoxy)ethanol,Oxidizing gases,,,,,0.0,2008.03.26
111-96-6,bis(2-methoxyethyl)ether,Oxidizing gases,,,,,0.0,2008.03.26
123-39-7,N-methylformamide,Oxidizing gases,,,,,0.0,2008.03.24
1333-86-4,Carbon black,Oxidizing gases,Not applicable(Materials of animal or vegetable origin and mineral origin),-,-,-,Solid (GHS definition),"Jun. 20, 2006"
143860-04-2,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",Oxidizing gases,,,,,0.0,2008.02.25
144-54-7,N-methyldithiocarbamic acid,Oxidizing gases,Not applicable (ammonium salt),,,,"Classified as ""solid"" according to GHS definition. The free acid cannot be classified due to lack of data.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
2210-79-9,"2,3-epoxypropyl o-tolyl ether",Oxidizing gases,,,,,0.0,2008.03.21
25167-80-0,chlorophenol,Oxidizing gases,"Not applicable (o, m, p-)",-,-,-,"Not Gas (GHS definition) (o, m, p-)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
288-88-0,"1,2,4-triazole",Oxidizing gases,,,,,0.0,2008.03.26
50-00-0,Formaldehyde,Oxidizing gases,Classification not possible (gas). Not applicable (aqueous solution),,,,"No data available (gas). Classified as ""liquid"" according to GHS definition (aqueous solution)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
69094-18-4,"2,2-dibromo-2-nitroethanol",Oxidizing gases,,,,,0.0,2008.02.25
7778-39-4,Arsenic acid,Oxidizing gases,Not applicable (aqueous solution),,,,"Classified as ""liquid"" according to GHS definition (aqueous solution)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7782-41-4,Fluorine,Oxidizing gases,Category 1 (compressed). Classification not possible (not compressed),,,,Classified as a powerful oxidant (ICSC (2004)). Those compressed are classified into Division 5.1 (UN#1045 (compressed gas)) by the UN Recommendations on the Transport of Dangerous Goods. Those other than compressed cannot be classified due to lack of data.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7782-50-5,Chlorine,Oxidizing gases,Category 1,Flame over circle,Danger,May cause or intensify fire; oxidizer,Categoly 1 and oxidizing gas (ISO 10156-2),"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7790-91-2,chlorine trifluoride,Oxidizing gases,Category 1,Flame over circle,Danger,May cause or intensify fire; oxidizer,"UNRTDG No. 1749, Class: 2.3, Subsidiary risks Class: 5.1; 8","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
823-40-5,2-methyl-m-phenylene diamine,Oxidizing gases,,,,,0.0,2008.02.19
85954-11-6,"2,2'-((3,3',5,5'-tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",Oxidizing gases,,,,,0.0,2008.02.22
87-66-1,pyrogallol,Oxidizing gases,,,,,0.0,2008.03.26
88-12-0,1-vinyl-2-pyrrolidone,Oxidizing gases,,,,,0.0,2008.03.17
96-29-7,2-butanone oxime,Oxidizing gases,,,,,0.0,2008.03.25
ID384,Chlorotrifluoroethane,Oxidizing gases,"Not classified (1-chloro-2,2,2-trifluoroethane)",,,,"Classified into Division 2.2 (UN#1983) (1-chloro-2,2,2-trifluoroethane) (UN Recommendation on the Transport of Dangerous Goods). ","Nov. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
