CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
1322-98-1,Sodium decylbenzenesulfonate (C10),Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1331-61-9,Ammonium dodecylbenzenesulphonate (C12),Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-86-4,Carbon black,Oxidizing liquids - Not applicable(Materials of animal or vegetable origin and mineral origin),-,-,-,Solid (GHS definition),"Jun. 20, 2006"
14275-57-1,"(Z)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
144-54-7,N-methyldithiocarbamic acid,Oxidizing liquids - Not applicable (ammonium salt),,,,"Classified as ""solid"" according to GHS definition. The free acid cannot be classified due to lack of data.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
2155-70-6,Tributyl(methacryloyloxy)stannane,Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
25167-80-0,chlorophenol,"Oxidizing liquids - Not applicable (o, m, p-)",-,-,-,"Organic compounds containing oxygen and chlorine (but not fluorine) and the oxygen is chemically bonded only to carbon and hydrogen (but not to other elements) (ortho). Solid (GHS definition) (meta, para).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25496-01-9,Tridecylbenzenesulphonic acid (C13),Oxidizing liquids - Not classified (liquid),,,,"No data available, though being organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
26239-64-5,"[1R-(1alpha,4abeta,4balpha,10aalpha)]-Tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane",Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
27176-87-0,Dodecylbenzenesulphonic acid (C12),Oxidizing liquids - Not classified (liquid),,,,"No data available, though being organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
27636-75-5,Sodium undecylbenzenesulfonate (C11),Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
30776-59-1,Tetradecylbenzenesulphonic acid (C14),Oxidizing liquids - Not classified (liquid),,,,"No data available, though being organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods).","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
3090-36-6,Tributyl(lauroyloxy)stannane,Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
31093-47-7,Decylbenzenesulfonic acid (C10),Oxidizing liquids - Not classified (liquid),,,,"No data available, though being organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified intoo Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
4782-29-0,[(Phthaloylbis(oxy)]bis(tributylstannane),Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
50854-94-9,Undecylbenzenesulfonic acid (C11),Oxidizing liquids - Not classified (liquid),,,,"No data available, though being organic compounds containing oxygen bound to the elements other than carbon and hydrogen. Classified into Class 8 (UN#2586 Alkyl sulfonic acids (liquid) or Aryl sulfonic acids (liquid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ","Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
509-14-8,tetranitromethane,Oxidizing liquids - Category 1,Flame over circle,Danger,May cause fire or explosion; strong oxidizer,UNRTDG Class: 5.1; PG I,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
61931-75-7,Ammonium undecylbenzenesulfonate (C11),Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
6454-35-9,"(E)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
6517-25-5,Tributyltin sulfamate,Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
67772-01-4,"Coplymer of alkyl(c=8) acrylate,methyl methacrylate and tributyltin methacrylate",Oxidizing liquids - Classification not possible (liquid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen ","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
