CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
10022-31-8,Barium nitrate,Oxidizing solids - Category 2,,,,"Inorganic compounds containing oxygen and classified as powerful oxidants according to ICSC (2004). Classified as ""Division 5.1: oxidizing substances"" by the UN Recommendations on the Transport of Dangerous Goods. However, it can be included in Category 2 or 3, given the fact that it has subsidiary risks corresponding to Division 6.1 and is assigned to Packing Group II (UN#1446). The substance is placed in Category 2 from the viewpoint of safety.","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10031-43-3,cupric nitrate,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"Category 2 because of UNRTDG Class: 5.1, PGII (N.O.S) and oxidizing solids (BGIA, GESTIS-database on hazardous substancess, Accessed in June 2006)","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Oxidizing solids - Category 2,,,,"Inorganic compounds containing oxygen which ""intensifies combustion of other materials"" according to ICSC (2004). Classified as ""Division 5.1: oxidizing substances"" by the UN Recommendations on the Transport of Dangerous Goods. However, it can be included in Category 2 or 3, given the fact that it has subsidiary risks corresponding to Division 6.1 and is assigned to Packing Group II (UN#1469). The substance is placed in Category 2 from the viewpoint of safety.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10102-45-1,Thallium nitrate,Oxidizing solids - Category 2,,,,"Inorganic compounds containing oxygen and classified as a powerful oxidant according to HSDB (2006). Classified as ""Division 5.1: oxidizing substances"" by the UN Recommendations on the Transport of Dangerous Goods. However, it can be included in Category 2 or 3, given the fact that it has subsidiary risks corresponding to Division 6.1 and is assigned to Packing Group II (UN#2727). The substance is placed in Category 2 from the viewpoint of safety.","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
124-43-6,hydrogen peroxide--urea,Oxidizing solids - Category 3,Flame over circle,"Warning
",May intensify fire; oxidizer,"UNRTDG No. 1511, Class: 5.1(8); PG III.","Jun. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1304-29-6,barium peroxide,Oxidizing solids - Category 2,Flame over circle,Danger,May intensify fire; oxidizer,"UNRTDG No. 1449, Class: 5.1; PG II.","Mar. 15, 2007 (Environmental Hazards: Mar. 23, 2006)"
1309-60-0,Lead dioxide,Oxidizing solids - Category 3,,,,"Inorganic compounds containing oxygen which ""intensifies combustion of other materials"" according to ICSC (2004). Classified into Division 5.1, Packing Group III (UN#1872) (UN Recommendations on the Transport of Dangerous Goods). 
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1313-60-6,disodium peroxide,Oxidizing solids - Category 1,Flame over circle,Danger,May cause fire or explosion; strong oxidizer,"UNRTDG No. 1504, Class: 5.1; PG I.","Mar. 23, 2006"
13138-45-9,Nickel dinitrate,Oxidizing solids - Category 3,,,,"Inorganic compounds containing oxygen, which may cause fire when in contact with wood or paper (HSDB (2006)). Classified into Division 5.1 (UN#2725) (UN Recommendations on the Transport of Dangerous Goods). ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1322-98-1,Sodium decylbenzenesulfonate (C10),Oxidizing solids - Classification not possible (as a solid),,,,"Classification not possible due to lack of data, though being organic compounds containing oxygen bound to elements other than carbon and hydrogen","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
