CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
10605-21-7,carbendazim(ISO),Pyrophoric liquids,,,,,0.0,2008.03.26
110-71-4,"1,2-dimethoxyethane",Pyrophoric liquids,,,,,0.0,2008.03.17
110-88-3,"1,3,5-trioxan",Pyrophoric liquids,,,,,0.0,2008.03.26
111-77-3,2-(2-methoxyethoxy)ethanol,Pyrophoric liquids,,,,,0.0,2008.03.26
111-96-6,bis(2-methoxyethyl)ether,Pyrophoric liquids,,,,,0.0,2008.03.26
123-39-7,N-methylformamide,Pyrophoric liquids,,,,,0.0,2008.03.24
1319-77-3,Cresol,Pyrophoric liquids,Not classified (m-cresol)           Not applicable (o- and p-cresol),,,,"Not pyrophoric when in contact with air at ordinary temperatures: the flashing point is 626degC for m-cresol (ICSC,1999). Classified as ""solid""(o- and p-cresol), according to GHS definition","Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
1322-98-1,Sodium decylbenzenesulfonate (C10),Pyrophoric liquids,Not classified (liquid),,,,"Considered non-pyrophoric when in contact with air at ordinary temperatures since the substance is used as laundry detergents (CERI-NITE Hazard Assessment, 2006), and sodium dodecylbenzenesulphonate (C12), an analog of sodium decylbenzenesulfonate, is classified as non-flammable (ICSC, 1999).","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1331-61-9,Ammonium dodecylbenzenesulphonate (C12),Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-86-4,Carbon black,Pyrophoric liquids,Not applicable(Materials of animal or vegetable origin and mineral origin),-,-,-,Solid (GHS definition),"Jun. 20, 2006"
14275-57-1,"(Z)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
143860-04-2,"3-ethyl-2-methyl-2-(3-methylbutyl)-1,3-oxazolidine",Pyrophoric liquids,,,,,0.0,2008.02.25
144-54-7,N-methyldithiocarbamic acid,Pyrophoric liquids,Not applicable (ammonium salt),,,,"Classified as ""solid"" according to GHS definition. The free acid cannot be classified due to lack of data.","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
19624-22-7,pentaborane(9),Pyrophoric liquids,Category 1,"Flame
","Danger
",Catches fire spontaneously if exposed to air,UNRTDG Class: 4.2 PGI,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
2155-70-6,Tributyl(methacryloyloxy)stannane,Pyrophoric liquids,Classification not possible (as a liquid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
2210-79-9,"2,3-epoxypropyl o-tolyl ether",Pyrophoric liquids,,,,,0.0,2008.03.21
