CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
12185-10-3,Phosphorus (yellow),Pyrophoric solids - Category 1,Flame,Danger,Catches fire spontaneously if exposed to air,"UNRTDG No. 1381, Class: 4.2, Subsidiary risks Class: 6.1, PGI","Mar. 23, 2006"
1319-77-3,Cresol,Pyrophoric solids - Not applicable (m-cresol)           Not classified (o- and p-cresol),,,,"Classified as ""liquid""(m-cresol), according to GHS definition. Not pyrophoric when in contact with air at ordinary temperatures: the flashing points are 599degC for o-cresol (ICSC, 2000) and 559degCfor p-cresol (ICSC, 2000).   ","Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
1322-98-1,Sodium decylbenzenesulfonate (C10),Pyrophoric solids - Not classified (solid),,,,"Considered non-pyrophoric when in contact with air at ordinary temperatures since the substance is used as laundry detergents (CERI-NITE Hazard Assessment, 2006), and sodium dodecylbenzenesulphonate (C12), an analog of sodium decylbenzenesulfonate, is classified as non-flammable (ICSC, 1999).","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1331-61-9,Ammonium dodecylbenzenesulphonate (C12),Pyrophoric solids - Classification not possible (as a solid),,,,No data available ,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-86-4,Carbon black,"Pyrophoric solids - Not classified(Materials of animal or vegetable origin), Classification not possible(Materials of mineral origin)",-,-,-,"Materials of animal-and-plant origin: It is based on the UN Number 1361 (CARBON, animal or vegetable origin, Class4.2, Packing Group IIorIII).
Materials of mineral origin: No data.","Jun. 20, 2006"
14275-57-1,"(Z)-5,5,12,12-Tetrabutyl-7,10-dioxo-6,11-dioxa-5,12-distannahexadec-8-ene",Pyrophoric solids - Classification not possible (as a solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
2155-70-6,Tributyl(methacryloyloxy)stannane,Pyrophoric solids - Classification not possible (as a solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
25167-80-0,chlorophenol,"Pyrophoric solids - Not applicable (o)  Not classified (m, p)",-,-,-,"It is a liquid according to the definition of GHS. (o-body)
It was judged that it did not ignite spontaneously from the fact that the measurement of flash point was performed at the temperature of 112 degC or more (ICSC (1999)). (m-body, p-body)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
25496-01-9,Tridecylbenzenesulphonic acid (C13),Pyrophoric solids - Not classified (solid),,,,Classified into Class 8 (UN#2585 Alkyl sulfonic acids (solid) or Aryl sulfonic acids (solid) (with not more than 5% free sulfuric acid)) (UN Recommendation on the Transport of Dangerous Goods). ,"Oct. 23, 2006 (Environmental Hazards: Jan. 25, 2007)"
26239-64-5,"[1R-(1alpha,4abeta,4balpha,10aalpha)]-Tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane",Pyrophoric solids - Classification not possible (as a solid),,,,No data available,"Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
