CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,Toxic to reproduction,Category 2,,,,"Based on the description in CERI-NITE Hazard Assessment No.57 (2004) and SIDS (2005): Continuous breeding studies in mice indicate a significant decrease in conception rates; rat teratogenicity tests indicate skeletal malformations (mainly curbed ribs) in offspring at dosing levels toxic to dams; repeated inhalation exposure in rats and mice results in spermatogenic disorder, shorter sexual cycles (rats) and longer sexual cycles (mice).","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-01-6,"Aniline, 4-nitro-",Toxic to reproduction,Category 2,Health hazard,Warning,Suspected of damaging fertility or the undorn child ,"There is the description that there is the increased of number of resorptions and fetal malformations only in the dose causing general toxicity to dam animals in peroral administration during pregnancy using rat (ACGIH (7th, 2001), PATTY (4th, 1994), CERI Hazard Data, and NTP TR418 (1993)). And it was considered as in the Category 2.","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
100-21-0,Terephthalic Acid,Toxic to reproduction,Category 2,,,,"Based on the evidence of decreased weight gain and reduced viability in pups at dosing levels toxic to parental animals or in the absence of data on parental toxicity, described in SIDS (2004), MOE Risk Assessment vol.3 (2004) and CERI Hazard Data 97-23 (1998).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Toxic to reproduction,Category 2,,,,"Based on the description in MOE Risk Assessment vol. 3 (2004), DFGOT vol.14 (2000) and ACGIH (7th, 2001): reduction in sperm count/mature follicle count was observed, though no descriptions are available regarding parental toxicity.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Toxic to reproduction,Category 1B,,,,"Based on the description of mice/rat teratogenicity tests (CERI Hazard Data 96-41 (1998), SIDS (2005), MOE Risk Assessment vol. 1 (2002)): Toxic effects on the embryo (urinary malformation) are observed at dosing levels not toxic to maternal animals.
","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Toxic to reproduction,Category 1B,,,,"Based on the description in CERI-NITE Hazard Assessment No.52 (2004): Three-generation reproduction studies in rats suggest a decrease in the survival rates of F1 and F2 newborns at dose levels not toxic to F0; Developmental toxicity and lactational administration studies in rats suggest brain serotonin depletion, a delay in righting/auditory reflexes and many other behavioral abnormalities in offspring at dosing levels not toxic to dams.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Toxic to reproduction,Category 2,,,,"Based on the evidence of body length reduction of the embryo, described in MOE Risk Assessment vol. 3 (2004), MOE Risk Assessment vol. 4 (2005), CERI Hazard Data 97-4 (1998) and SIDS (2002) (no data presented on maternal toxicity).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-74-3,"Morpholine, 4-ethyl-",Toxic to reproduction,Category 2,Health hazard,Warning,Suspected of damaging fertility or the undorn child ,"Based on the description of little decrease children count and live born count with dose causing slight toxicity to parent animals in rat examination (Health, Labor and Welfare Ministry reports (2005)), it is classified into Category 2.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.13.7]decane; Hexamethylenetetramine",Toxic to reproduction,Category 2,,,,"Based on the evidence of slight increases in the number of pups stillborn or dying in early infancy though no treatment effects on body weights of parental animals were observed (no data on other endpoints are available) in teratogenicity studies with dogs, described in MOE Risk Assessment vol. 3 (2004), PATTY (4th, 2000) and DFGOT vol.5 (1993).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10024-97-2,Dinitrogen oxide,Toxic to reproduction,Category 1A,Health hazard,Danger,May damage fertility or the undorn child ,"It is classified into the Category 1A because natural abortion by insufflations increased in the case of the female workers working in the dental clinics (ACGIH (2001)). An animal experiments in rat shows embryotoxicity, the ferotoxity and the skeltal malformation.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
