CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-97-0,"1,3,5,7-Tetraazatricyclo[3.3.1.13.7]decane; Hexamethylenetetramine",Respiratory sensitizer,Category 1,,,,"Based on the description in the report on epidemiological studies (MOE Risk Assessment vol. 4 (2004) and DFGOT vol.5 (1993)): ""Asthma-like symptoms were observed."" Also based on the description in MOE Risk Assessment vol. 4 (2004): ""Attacks of asthma brought on."" The substance is thus considered to possess a potential for respiratory sensitization.","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
10025-73-7,Chromium trichloride,Respiratory sensitizer,Category 1,,,,"chromium is classified into ""Respiratory Sensitizing Substance"" by the ad hoc committee of the Japanese Society of Occupational Allergy, and ""Respiratory Sensitizing Substance: Group 2""* by the Japan Society for Occupational Health. These classifications, though not specifying chromic chloride, seem to include chromium compounds. Chromic chloride, which is a chromium compound, should thus cause respiratory sensitization.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
101-68-8,"Diphenylmethane diisocyanate   (4,4'-M.D.I.)",Respiratory sensitizer,Category1,Health hazard,Danger,May cause allegy or asthma symptoms pr breathing difficulties if inhaled,"Respiratory-organs: They are classified into the airway 1st group (Japan Society for Occupational Health Recommendation, 2005) according to Japan Society for Occupational Health, and Sah (MAK/BAT, 2004) according to DFG. Since it was listed as a respiratory allergic substance by the Japanese occupationl and the allergology meeting (the Japanese occupationl and  environmental allergology meeting magazine, 2004), it was referred to as Category 1.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10294-40-3,Barium chromate,Respiratory sensitizer,Category 1,,,,"chromium is classified into ""Respiratory Sensitizing Substance"" by the ad hoc committee of the Japanese Society of Occupational Allergy, and ""Respiratory Sensitizing Substance: Group 2""* by the Japan Society for Occupational Health. These classifications, though not specifying potassium dichromate, seem to include chromium compounds. Potassium dichromate, which is a chromium compound, should thus cause respiratory sensitization.","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10588-01-9,Sodium dichromate,Respiratory sensitizer,Category1,Health hazard,Danger,May cause allegy or asthma symptoms pr breathing difficulties if inhaled,"   Based on the fact that asthna can be identified in humans (EHC 61 (1988)EU-RAR (2005)), it was referred to as Ctegory 1 .","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
106-50-3,p-Phenylenediamine,Respiratory sensitizer,Category 1,,,,"Based on the description of human health effects in CERI Hazard Data 2001-31 (2002), MOE Risk Assessment vol. 3 (2004) and PATTY (4th, 1999): ""asthmatic symptoms were observed following exposure to p-phenylenediamine.""","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-89-8,Epichlorohydrin,Respiratory sensitizer,Category 1,,,,"Based on the description in MOE Risk Assessment Vol. 1 (2002): ""The data on human health effects include chronic asthmatic bronchitis."" The substance is thus considered to cause ""respiratory sensitization.""","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
107-15-3,Ethylenediamine,Respiratory sensitizer,Category 1,,,,"based on the classification by the Japan Society for Occupational Health and the Japanese Society of Occupational Allergy (Respiratory Sensitizing Substances). Based on the description in the report on respiratory sensitization (CICAD 15 (1999), SIDS (2003)): Occupational exposure to ethylene diamine causes asthma; the substance is considered to cause ""respiratory sensitization.""","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
108-31-6,Maleic anhydride,Respiratory sensitizer,Category 1,,,,"Due to the fact that the substance is reported as a ""Respiratory Sensitizer Substance"" by the ad hoc committee of the Japanese Society of Occupational Allergy (2004).","Dec. 19, 2006 (Environmental Hazards: Mar. 31, 2006)"
110-85-0,Piperazine,Respiratory sensitizer,Category 1,,,,"Based on the description of the human health effects (CERI Hazard Data 2001-13 (2002), EU-RAR No.56 (2005) and PATTY (4th, 2000)): Piperazine induced symptoms of respiratory sensitization such as asthma. Also due to the fact that the substance is classified as a ""Respiratory Sensitizing Substance"" by the Japanese Society of Occupational Allergy.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
11070-44-3,Tetrahydromethylphthalic anhydride,Respiratory sensitizer,Category 1,,,,Based on several epidemiological case reports that suggest respiratory sensitization in humans (CERI Hazard Data 2001-62 (2002) and MOE Risk Assessment vol. 4 (2005)).,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-30-8,Glutaraldehyde,Respiratory sensitizer,Category1,Health hazard,Danger,May cause allegy or asthma symptoms pr breathing difficulties if inhaled,"[Respiratory sensitization] There are several reports that humans showed rhinitis, asthma with breathing difficulties, or asthma-like symptoms exposed by this substance (NICNAS (1994)) and a report that concludes that this product caused an occupational asthma based on a bronchial hypersensitive test (ACGIH (2001)). Moreover, the Japan Society for Occupational Health (JSOH advice (2005)) and the Japanese Occupational and Environmental Allergology Society (ALGY society, list of (sensitizing) substances (proposal), p95) listed this as a respiratory tract sensitizer and a sensitizing chemical substance, respectively. Therefore, we classified this as Category 1. In addition, animal testing cannot confirm positive findings (NICNAS (1994)).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
111-40-0,"N-(2-Aminoethyl)-1,2-ethanediamine; Diethylenetriamine",Respiratory sensitizer,Category 1,,,,"based on data on human health effects (MOE Risk Assessment vol. 2 (2003), CERI-NITE Hazard Assessment No.50 (2004), SIDS (1996), ACGIH (7th, 2001))","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
