CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
12427-38-2,"Manganese N,N'-ethylenebis(dithiocarbamate)",Self-heating substances and mixtures - Category 2,,,,"Assigned to Division 4.2 and Packing Group III (UN#2210 Maneb or Maneb Preparations with not less than 60% maneb, self-heating substance (ICSC (2003))) (UN Recommendations on the Transport of Dangerous Goods).","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1313-82-2,Disodium sulfide,Self-heating substances and mixtures - Category 1,Flame,Danger,Self-heating; may catch fire,"UNRTDG Class: 4.2, PGII","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
1333-86-4,Carbon black,"Self-heating substances and mixtures - Category 1-2(Materials of animal or vegetable origin), Classification not possible(Materials of mineral origin)",Flame,Danger,Self-heating; may catch fire,"It is based on the Animals-and-plants system materials: UN number 1361 (CARBON, animal or vegetable origin, Class4.2, Packing Group IIorIII).
Mineral systems materials: data without. ","Jun. 20, 2006"
16721-80-5,Sodium sulfide,Self-heating substances and mixtures - Category 1,Flame,Danger,Self-heating; may catch fire,"UNRTDG Class: 4.2, PGII","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
25167-80-0,chlorophenol,"Self-heating substances and mixtures - Classification not possible (o, m, p-)",-,-,-,"The test suitable for a liquid state substance is not established. (o-body)
The test suitable for a solids material is not established. (Solid with a melting point of 140 degC or less)   (m-body, p-body)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
50-00-0,Formaldehyde,Self-heating substances and mixtures - Not applicable (gas) Classification not possible (aqueous solution),,,,"Classified as ""gas"" according to GHS definition (gas). Test methods applicable to liquid substances are not available (aqueous solution)","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
61788-33-8,Polychlorinated terphenyls,"Self-heating substances and mixtures - Classification not possible (liquid or solid with melting point of <=140degC), Not classified (melting point of >140degC)",,,,"Test methods applicable to liquid or solid substances with melting point of <=140degC are not available (test temperature: 140degC), whereas those with melting point of >140degC cannot be classified due to lack of data. Classified into Class 9 (UN#3151 (Polyhalogenated Biphenyls (liquid; excluding polychlorinated biphenyls (UN#2315, liquid); those with concentrations of not more than 50mg/kg are not included in the Dangerous Goods list), or Polyhalogenated Terphenyls (liquid; those with concentrations of not more than 50mg/kg are not included in the Dangerous Goods list)), UN#3152 (Polyhalogenated Biphenyls (solid; excluding polychlorinated biphenyls (UN#3432, solid); those with concentrations of not more than 50mg/kg are not included in the Dangerous Goods list), or Polyhalogenated Terphenyls (solid; those with concentrations of not more than 50mg/kg are not included in the Dangerous Goods list)) by the UN Recommendation on the Transport of Dangerous Goods, which is ""Not classified.""

","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
7775-14-6,Sodium dithionite,Self-heating substances and mixtures - Category 1,Flame,Danger,Self-heating; may catch fire,"UNRTDG Class: 4.2, PGII","Mar. 23, 2006"
7778-39-4,Arsenic acid,Self-heating substances and mixtures - Classification not possible (aqueous solution),,,,Arsenic acid is present only in aqueous solutions. Test methods applicable to liquid substances are not available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8050-88-2,"Celluloid, in blocks, rods, rolls, sheets, tubes, etc.",Self-heating substances and mixtures - Category 2 (scrap),Flame,Warning,Self-heating in large quantities; may catch fire,"UNRTDG Class: 4.2, PGIII","Mar. 23, 2006"
9036-19-5,Poly(oxyethylene) octylphenyl ether,Self-heating substances and mixtures - Classification not possible (when 9 moles of ethylene oxide added),,,,Test methods applicable to liquid substances are not available (when 9 moles of ethylene oxide added),"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
