CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
77-73-6,Dicyclopentadiene,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7784-01-2,silver chromate,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
131-74-8,ammonium picrate,Self-reactive substances and mixtures,Not applicable,-,-,-,Classified in explosives,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
10099-74-8,Lead dinitrate,Self-reactive substances and mixtures,Not classified,,,,"No data available, though being nitrate, containing chemical groups with explosive properties. Classified into Division 5.1 and Division 6.1 (UN#1469) (UN Recommendations on the Transport of Dangerous Goods) ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
ID723,Coal tar naphtha,Self-reactive substances and mixtures,Classification not possible,-,-,-,No data available,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
106-46-7,p-Dichlorobenzene,Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
8018-01-7,"Complex compounds of manganese N,N'-ethylenebis(dithiocarbamate) and zinc N,N'-ethylenebis(dithiocarbamate)",Self-reactive substances and mixtures,Not applicable,,,,Containing no chemical groups with explosive or self-reactive properties ,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
532-27-4,2-chloroacetophenone,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
98-00-0,2-Furanmethanol,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100784-20-1,"Methyl 3-chloro-5-(4,6-dimethoxy-2-pyrimidinylcarbamoylsulfamoyl)-1-methylpyrazole-4-carboxylate",Self-reactive substances and mixtures,Classification not possible,,,,"Classification not possible due to lack of data, though being a sulfonyl compound containing chemical groups with self-reactive properties. ","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
86-88-4,antu,Self-reactive substances and mixtures,Not applicable,-,-,-,There are no chemical groups associated with explosive or self-reactive properties present in the molecule.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
