CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-02-7,p-Nnitrophenol,Skin corrosion / irritation - Category 1A-1C,,,,"Based on the description in the report on guinea pig skin irritation tests (though the results are not those of 4 hour application) (CERI Hazard Data 2001-65 (2002)): ""Eschar, severe scarring,"" ""inflammation, edema, yellow-brown pigmentation, dermal swelling and severe crust formation"" indicative of strong irritancy. Although classified into Category 1A-1C, the substance should be placed in Category 1A from the viewpoint of safety.  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-21-0,Terephthalic Acid,Skin corrosion / irritation - Category 3,,,,"Based on the description in the report on skin irritation tests in rabbits and human volunteers (CERI Hazard Data 97-23 (1998), ACGIH (7th, 2001) and SIDS (2004)): ""non-irritating"" or ""slightly irritating."" The substance is thus considered to possess ""mild skin irritation"" (though it is unclear whether the results are those of 4-hour application).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Skin corrosion / irritation - Category 1C,Corrosion,Danger,Causes severe skin burns and eye damage,"Since corrosivityity is verified in an examination (4 hours) on rabbits under OECD guideline 404 (SIDS (2003)), it was classified as Category 1C.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Skin corrosion / irritation - Category 2,,,,"Based on a report on rabbit skin irritation test results (ACGIH (7th, 2001)): ""moderately irritating."" ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-41-4,Ethylbenzene,Skin corrosion / irritation - Category 3,,,,"Based on the evidence of primary skin irritation tests (ATSDR (1999)): ""A 24-hour application causes mild skin irritation"" (ethyl benzene is considered mildly irritating to the skin, though the results are not those of 4-hour application).","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,Skin corrosion / irritation - Category 2,,,,"Based on the evidence of ""moderate irritation"" from rabbit skin irritation tests.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,Skin corrosion / irritation - Category 1A-1C,,,,"Based on the description in the report on 24-hour skin irritation tests in rabbits (SIDS (2002)): ""severe flare followed by swelling and necrosis."" Also based on the description of the human health effects (CERI Hazard Data 97-4 (1998)): ""very strong irritation of the skin, eye and mucous membranes."" The substance should be placed in Category 1A from the viewpoint of safety if further subclassification is needed.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,Skin corrosion / irritation - Category 2,Exclamation mark,Warning,Causes skin irritation,"Since there was description that it stimulates to ""Moderate (moderately)"" as a result of the standard Draize's method for a rabbit (RTECS and (2000), HSDB (2003)) and the human skin is stimulated (ICSC (J), (1999), SITTIG (4th, 2002), HSFS (2000)), it was set as category 2.","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Skin corrosion / irritation - Category 2,,,,"Based on the description in the report on rabbit skin irritation tests evaluated according to the Draize scheme (CERI Hazard Data 99-21 (2000)): ""Moderate irritation."" Also based on the description in the report on rabbit skin irritation tests (DFGOT Vol.17 (2002)): ""moderately irritating."" The substance is thus considered a moderate irritant (though these results are those of 24 hour application).

","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-61-8,N-Methylaniline,Skin corrosion / irritation - Category 2,,,,"Based on human epidemiological findings of ""skin irritation"" (CERI Hazard Data 2001-2 (2002)). Although classified into Category 2-3 because the severity of irritation is unknown, the substance should be placed in Category 2A from the viewpoint of safety. 
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
