CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
78-78-4,"Butane, 2-methyl-",Skin sensitizer,Skin sensitization: Classification not possible,-,-,-,"Skin : Although we have the description that sensitizing property was not acknowledged in maximization test which used the guinea pigs in IUCLID (2000), there was no description which negates sensitizing property clearly in Priority 1, therefore we presupposed that we could not classify it since data was insufficient for judging it to be Outside Of Category .","May 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
23950-58-5,"3,5-dichloro-N-(1,1-dimethyl-2-propynyl)benzamide",Skin sensitizer,Skin sensitizer: Not classified,,,,"Skin sensitizer: No skin sensitizing potential was found in guinea pig sensitization tests employing the Buehler and Maximization methods (Agricultural Chemical Registration Data (1993, 1998)).","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
57-74-9,"chlordane , pur",Skin sensitizer,Skin sensitization: Classification not possible,Skin sensitization)-,Skin sensitization)-,Skin sensitization)-,No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
116-14-3,Tetrafluoroethylene,Skin sensitizer,Skin sensitizer: Classification not possible,,,,Skin sensitizer: No data available,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
74-98-6,Propane,Skin sensitizer,Skin sensitization: Classification not possible,-,-,-,No data available,"Mar. 23, 2006"
2310-17-0,"O,O-Diethyl S-(6-chloro-2,3-dihydro-2-oxobenzoxazolinyl)methyl phosphorodithioate; Phosalone",Skin sensitizer,Skin sensitizer: Classification not possible,,,,Skin sensitizer: No data available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
782-74-1,"1,2-Bis(2-chlorophenyl)hydrazine",Skin sensitizer,Skin sensitizer: Classification not possible,-,-,-,Skin sensitization: classification is not possible since there is no data.,2009.3.31
12071-83-9,"Polymer of N,N'-propylenebis(dithiocarbamic acid) and zinc",Skin sensitizer,Skin sensitizer: Category 1,,,,Skin sensitizer: Based on positive results in guinea pig skin sensitization tests employing the Draize method (Agricultural Chemical Registration Data (1989)).,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
3309-87-3,Fujithion,Skin sensitizer,Skin sensitization: Classification not possible,Skin sensitization)-,Skin sensitization)-,Skin sensitization)-,No data available,"Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
133-06-2,"1,2,3,6-tetrahydro-N-(trichloromethylthio)phthalimide",Skin sensitizer,Skin sensitization: Category1,Skin sensitization)Exclamation mark,Skin sensitization)Warning,Skin sensitization)May cause allergic skin reaction,"Skin: Since positive rates were 40% in maximization test using guinea pigs (Agrichemical Abstracts), we categorized it as Category 1.","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
1806-26-4,p-Octylphenol,Skin sensitizer,Skin sensitizer: Classification not possible,,,,Skin sensitizer: No data available,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
612-83-9,"N,N'-(3,3'-Dichlorobiphenyl-4,4'-diyl)diammonium dichloride",Skin sensitizer,Skin sensitizer: Classification not possible,-,-,-,"Skin sensitization: classification is not possible since there is no data. It can be classified as R43 (EU-Annex I). Also, for free bases (CAS 91-94-1), there is a description of ""having caused contact dermatitis in working employees"" (CICAD 2 (1998)).",2009.3.31
89269-64-7,"(Z)-2'-methylacetophenone 4,6-dimethyl-2-pyrimidinylhydrazone",Skin sensitizer,Skin sensitizer: Not classified,,,,Skin sensitizer: No skin sensitizing potential was found in guinea pig sensitization tests employing the Buehler method (Agricultural Chemical Registration Data (1991)).,"Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
59-89-2,N-Nitrosomorpholine,Skin sensitizer,Skin sensitization: Classification not possible,-,-,-,No data available,"Sep. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
107-15-3,Ethylenediamine,Skin sensitizer,Skin Sensitizer: Category 1,,,,"Skin sensitizer: based on the classification by the Japan Society for Occupational Health and the Japanese Society of Occupational Allergy (Skin Sensitizing Substances). Based on the description in the report on human skin sensitization (CICAD 15 (1999), SIDS (2003), MOE Risk Assessment vol. 3 (2004)) and guinea pig skin sensitization (CICAD 15 (1999), SIDS (2003)): Patch tests on dermatitis patients show positive, as do guinea pig skin sensitization tests. The substance is thus considered to cause ""skin sensitization.""","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
94-59-7,"5-Allyl-1,3-benzodioxole",Skin sensitizer,Skin sensitizer: Classification not possible,-,-,-,"Skin sensitizations: although there is a ""negative"" (HSDB (2005)) description in the Maximization test of humans (25 volunteers), classification is not possible because of insufficient data since it is the source of information from List2.",2009.3.31
