CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
100-00-5,p-Nitrochlorobenzene,"Specific target organs/systemic toxicity following repeated exposure - Category 1 (blood, testes)",,,,"Based on the evidence from animal studies including ""cyanosis, an increase in methemoglobin concentrations, a decrease in red blood cell count, a decrease in hematocrit/hemoglobin values, an increase in the absolute/relative weight of the spleen, splenic hypertrophy, splenic extramedullary hematopoiesis, hemosiderin deposition, bone marrow hyperplasia, a decrease in spermatid count and sperm concentrations, impaired sperm mobility, testis atrophy, seminiferous tubule atrophy"" (CERI-NITE Hazard Assessment No.57 (2004)). The effects on experimental animals were observed at dosing levels within the guidance value ranges for Category 1.","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-01-6,"Aniline, 4-nitro-",Specific target organs/systemic toxicity following repeated exposure - Category 1 (blood),Health hazard,Danger,Causes damage to organs (blood) through prolonged or repeated exposure,"In industrial hygene academic society advice (1995), ACGIH (7th, 2001), CERI Hazard Data (2002), and NTP TR418 (1993), due to the description that the effect to the blood on methemoglobinemia etc. was observed within the dosage of the guidance value range of Category 1 in the two-week oral study using mouse or the four-week inhalation atmospheric exposure test using rats , it was classified into Category 1 (blood).","Oct. 1, 2005 (Environmental Hazards: Mar. 31, 2006)"
100-02-7,p-Nnitrophenol,Specific target organs/systemic toxicity following repeated exposure - Category 1 (blood system) Category 2 (liver),,,,"Based on the evidence from animal studies including ""fatty degeneration of the liver"" (CICAD 20 (2000)), ""elevated methemoglobin levels in all treated groups"" (CICAD 20 (2000)). The effects on experimental animals were observed at dosing levels within the guidance value ranges for Category 1 (blood system) and Category 2 (liver).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-21-0,Terephthalic Acid,Specific target organs/systemic toxicity following repeated exposure - Category 1 (respiratory organs) Category 2 (bladder),,,,"Based on the evidence from animal studies including ""degeneration of the bronchial mucosal epithelium,"" ""bladder calculus"" (CERI Hazard Data 97-23 (1998)). The effects on experimental animals were observed at dosing levels within the guidance value ranges for Category 1 (respiratory organs) and Category 2 (bladder).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-37-8,"Ethanol, 2-(diethylamino)-",Specific target organs/systemic toxicity following repeated exposure - Category 2 (liver),Health hazard,Warning,May cause damage to organs (liver) through prolonged or repeated exposure,It was classified into Category 2 since liver disease was observed in rat with 100mg/kg diet (ACGIH (2001)).,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-40-3,4-Vinyl-1-cyclohexene,Specific target organs/systemic toxicity following repeated exposure - Category 1 (blood system) Category 2 (kidneys),,,,"Based on the human evidence including ""change in WBC and decrease in hemoglobin levels,"" and the evidence from animal studies including ""hyaline droplet degeneration of proximal renal tubules.""  The effects on experimental animals were observed at dosing levels within the guidance value ranges for Category 2.  ","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-42-5,Styrene,"Specific target organs/systemic toxicity following repeated exposure - Category 1 (respiratory organs, nervous system, blood system, liver)",,,,"Based on the human evidence including ""valid conclusions can be drawn neither from human cases nor from epidemiological studies because the unknown amount of exposure and the possibility of multiple exposure involving other substances"" ""Styrene causes 1) irritation to the eyes, skin, nose and larynx, 2) respiratory effects such as obstructive pulmonary disease and chronic bronchitis, 3) dizziness, headache, exhaustion and confusion, 4) adverse effects on the central nervous system (insomnia), the mental/nervous function (a delay in reaction time, debilitating linguistic memory, etc.), the visual and auditory senses, the blood systems (an increase in lymphocyte count, a decrease in platelet count, etc.) and the liver (an increase in AST/GGT/ALT activity, etc.)"" described in CERI-NITE Hazard Assessment No.52 (2004). There is also a description in CERI-NITE Hazard Assessment No.52 (2004) of the evidence from animal studies including ""vacuolation of the epidermal cells of the nasal/tunica mucous membrane, exfoliated cells, pyknosis, a decrease in SVC (sensory nerve conduction velocity), hepatocyte necrosis.""","Mar. 23, 2006 (Environmental Hazards: Feb. 10, 2006)"
100-44-7,Benzyl chloride,"Specific target organs/systemic toxicity following repeated exposure - Category 1 (nervous system, respiratory organs) Category 2 (heart, liver, thyroid gland)",,,,"Based on the human evidence: ""workers occupationally exposed to the substance exhibited debility, fatigue, persistent headache and increased excitability"" (MOE Risk Assessment vol. 4 (2005)), and the evidence from animal studies including ""necrosis of the cardiac muscle, severe hyperplasia, severe congestion and edema in the heart/lung/liver, a significant increase in the incidence of hyperplasia/focal necrosis of the cardiac muscle, degeneration of the thyroid gland, severe injury in the respiratory/olfactory epithelium, diffuse pulmonary edema"" (MOE Risk Assessment vol. 4 (2005)). The effects on experimental animals were observed at dosing levels within the guidance value ranges for Category 1 (respiratory organs) and Category 2 (heart, liver, thyroid gland).
","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
100-47-0,Benzonitrile,"Specific target organs/systemic toxicity following repeated exposure - Category 2 (central nervous system, liver)",Health hazard,Warning,"May cause damage to organs (central nervous system, liver) through prolonged or repeated exposure","Since there is description that disorder is occured on central nervous system and liver in the inhalation exposure experiment (steam) in a rat, exposure of the dosage which is equivalent to Category 2 with a guidance value (IUCLID(2000), and RTECS(2000)), it was classified into Category 2 (central nervous system, and liver).","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
100-52-7,Benzaldehyde,Specific target organs/systemic toxicity following repeated exposure - Category 1 (nervous system),,,,"Based on the human evidence: ""benzaldehyde produces depression at small doses; spasm at large doses"" (CERI Hazard Data 99-21 (2000)).","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
