CASRN,Name,Hazard class,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
7440-41-7,beryllium,Specific target organs/systemic toxicity following single exposure,Category 1 (respiratory organs),Health hazard,Danger,Cause damage to organs (respiratory organs),"In the descriptions that the inflammation of the airways is observed by short-term exposure in human in EHC 106 (1990), CICAD 32 (2001), ACGIH (7th, 2001), DFGOT vol.3 (1992), PATTY (4th, 1994), IARC 58 (1993) and ATSDR (2002), and that severe chemical pneumonia may be caused. So it is judged that the target organs is respiratory system, therefore, it was classified into Category 1.","Mar. 23, 2006"
594-42-3,"Methanesulfenyl chloride, trichloro-",Specific target organs/systemic toxicity following single exposure,Category 1 (lung),Health hazard,Danger,Cause damage to organs (lung),"From description in PATTY (4th, 1994) that pulmonary edemas was seen in the inhalation exposure test on rats, mice, and cats, with the concentration of the guidance value range of Category 1, and description in DFGOT (vol.1, 1991) and PATTY (4th, 1994) that pulmonary edemas was seen in humans in evidence of accidental exposure, it was set as Category 1 (pneumoconiosis).","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-28-0,thallium,Specific target organs/systemic toxicity following single exposure,"Category 1 (digestive system, nervous system, skin(appendage))",Health hazard,Danger,"Cause damage to organs (digestive system, nervous system, skin(appendage))","Due to the gastroenteritis, polyneuropathy, and acomia are major symptoms of thallium poisoning (EHC 39 (1984)), it was classified into ""Category 1 (digestive systems, nervous systems, skin (appendage))"".","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7783-99-5,silver nitrite,Specific target organs/systemic toxicity following single exposure,Classification not possible,-,-,-,Although respiratory irritant is suspected as nitrite salt but there is no data.,"Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
1330-20-7,Xylene,Specific target organs/systemic toxicity following single exposure,"Category 1 (respiratory organs, liver, central nervous system, kidneys) Category 3 (narcotic effects)",,,,"Based on the human evidence including ""throat irritation, severe pulmonary congestion, alveolar hemorrhage, pulmonary edema, congestion accompanying hepatomegaly, centrilobular vacuolation of hepatocytes, nerve cell damage associated with dot hemorrhage, swelling and disappearance of Nissl bodies, limb cyanosis, a transient increase in serum transaminase activity, an increase in the blood level of urea, a decrease in endogenous creatinine clearance in the urine, liver damage, severe kidney damage, amnesia, coma"" (CERI-NITE Hazard Assessment No.62, 2004) and ""pulmonary congestion, pulmonary edema, focal alveolar hemorrhage"" (MOE Risk Assessment Vol.1, 2002) and the evidence from animal studies including ""strong narcotic effect (EHC 190, 1997). The basis for the classification includes data on xylene with unknown composition or containing other substances (ethyl benzene, toluene, etc.). 
","Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
941-69-5,N-Phenylmaleimide,Specific target organs/systemic toxicity following single exposure,Category 1(systemic toxicity),Health Hazard,Danger,Causes damage to organs(systemic toxicity),"In the acute oral toxicity test employing rats (OECD TG/401, GLP), ""Diarrhea, locomotor activity reduction, paleness of ear and extremities were seen. There descriptions of ""Abnormalities were not observed on and after 1st day after administration."" and ""proventriculus mucosa hypertrophy"" (Health, Labor and Welfare Ministry reports (Access on November 2008)). These influences were seen within the range of the guidance value of Category 1. Although it is not a information source given in List, the data which suggests the irritation to the skin and the eye is indicated in MSDS (HPJ-1402-00-07 (2007)) of NIPPON SHOKUBAI and since the proventriculus mucosa hypertrophy is estimated to be due to the influence due to the irritation of the this substance, it is not adopted. As mentioned above, it was classified into Category 1 (systemic toxicity). ",2009.3.31
420-04-2,Cyanamide,Specific target organs/systemic toxicity following single exposure,Classification not possible,-,-,-,No data available.,"Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
74222-97-2,"methyl 2-[[[[(4,6-dimethyl-2-pyrimidinyl)amino]carbonyl]amino]sulphonyl]benzoate",Specific target organs/systemic toxicity following single exposure,Classification not possible,-,-,-,No data available.,"Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
4685-14-7,"1,1'-Dimethyl-4,4'-bipyridinium salts (except paraquat dichloride)",Specific target organs/systemic toxicity following single exposure,"Category 1 (kidneys, liver, respiratory organs, cardiovascular system, central nervous system)",,,,"Based on the human evidence including ""major organ damage: kidney and lung,"" ""toxic myocarditis induced following ingestion of paraquat,"" ""hemorrhagic leukoencephalopathy in the whole central nervous system,"" and ""fibrosis of pneumonitis/alveolar hemorrhagy, and renal tubular degeneration"" (EHC 39 (1984)).
","Jun. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
7783-96-2,silver iodide,Specific target organs/systemic toxicity following single exposure,Classification not possible,-,-,-,"Although there is an example of accident of extensive exposure to two or more persons of silver iodide in HSDB (2003) and pathological conditions was not observed, it can not be classified due to insufficient data.","Jun. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1319-77-3,Cresol,Specific target organs/systemic toxicity following single exposure,"Category 1 (blood system, respiratory organs, heart, liver, kidneys, central nervous system)
Category 3 (narcotic effects)",,,,"Based on the human evidence including ""deep coma, severe methemoglobinemia, formation of Heinz bodies, intravascular hemolysis, clot formation, liver fatty degeneration, kidney fatty degeneration, tubulonecrosis"" (CERI Hazard Data, 97-9, 1998) and ""myocardial dysfunction, hemorrhagic pulmonary edema, necrosis of hepatic lobules, necrosis of kidneys, brain congestion, brain swelling (EHC 168, 1995) and evidence from animal studies including ""clonic spasm, bloody urine, airway irritation, necrosis of the lung and liver"" (DFGOT Vol. 14, 2000). The effects on experimental animals were observed at dosing levels within the guidance value range for Category 1.The basis of the classification includes data on cresol with unknown composition or containing other substances. ","Mar. 23, 2006 (Environmental Hazards: May 24, 2006)"
20837-86-9,Lead cyanamidate,Specific target organs/systemic toxicity following single exposure,"Category 1 (blood system, kidneys, nervous system)",,,,"Based on toxicity of inorganic lead compounds.  

Based on the human evidence: ""The effects observed in acute and chronic studies are very similar for inorganic lead compounds. Inhalation or oral ingestion of inorganic lead has been reported to induce oral contraction and thirst, along with nausea, vomiting, upper abdominal discomfort, loss of appetite, abdominal pain and constipation suggesting gastrointestinal toxicity. The effects on hematopoietic function such as hemoglobin synthesis inhibition due to delta-aminolevulinic acid/heme synthetic enzyme inhibition and anemia caused by shortened survival of red blood cells are considered representative of toxic actions of inorganic lead. Kidney effects are evidenced by interstitial nephropathy and decreased urinary output along with proximal renal tubular damage showing Fanconi's syndrome represented by proteinuria, hematuria, urinary cast, glycosuria and aminoaciduria. Inorganic lead adversely affects the central and peripheral nervous systems, displaying in particular weakening of the muscle of the limbs, pain and spasm. 
There have been rare reports of adults exhibiting ataxia, headache, paresthesia, depression and coma indicative of toxic effects on the central nervous system when exposing to extremely high doses (details not shown). However, children are most sensitive to toxicity of lead, and neurodevelopmental toxicity manifested as restlessness, aggression, concentration difficulties and memory lapse has become serious problem in the U.S."" (CERI Hazard Data 2001-9 (2002)).","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
7440-42-8,Boron,Specific target organs/systemic toxicity following single exposure,Classification not possible,,,,No data available,"Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
160430-64-8,N1-[(6-Chloro-3-pyridyl)methyl]-N2-cyano-N1-methylacetamidine,Specific target organs/systemic toxicity following single exposure,Category 1 (nervous system),Health hazard,Danger,Cause damage to organs (nervous system),"It was considered as Category 1(nerve systems) based on the description (Agricultural Chemical Registration Data ) that tremor, squatting position, hyporeactivity, decubitus position, abdominal position, salivation, urinary incontinence, ataxy, dacryorrhea, dilatation of pupil, and clonic convulsion were observed in a rat at the dose within the range of guidance value in Category 1 (less than 300mg/kg).","Sep. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
3761-53-3,"disodium 1-(2,4-dimethylphenylazo)-2-hydroxynaphthalene-3,6-disulphonate",Specific target organs/systemic toxicity following single exposure,Classification not possible,-,-,-,No data available.,"Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
28300-74-5,"Antimonate(2-), bis[mu-[2,3-di(hydroxy-kappaO)butanedioato(4-)-kappaO1:kappaO4]]di-, dipotassium, trihydrate, stereoisomer",Specific target organs/systemic toxicity following single exposure,Category 1 (respiratory),Health hazard,Danger,Cause damage to organs (respiratory),"There is a report in ACGIH-TLV (2005), a Priority 1 document, that in the form of an antimony compound it has airway irritant properties. The substance was classified as Category 1 (respiratory system) because there is also a report in SITTIG (4th, 2002), a Priority 2 document, of its airway irritant properties and pulmonary edema after exposure at a higher concentration.","Aug. 22, 2006 (Environmental Hazards: Mar. 31, 2006)"
78-83-1,"1-Propanol, 2-methyl-",Specific target organs/systemic toxicity following single exposure,"Category 3 (respiratory tract irritation, narcotic effects)",Exclamation mark,Warning,"May cause respiratory irritation or may cause drowsiness and dizziness (respiratory tract irritation, narcotic effects)","From description in EHC 65 (1987), PATTY (4th, 1994), and Society for Occupational Health Recommendation of Occupational Exposure (1993) that the stimulus of the pharynx was observed in human exposure, it was thought that there was respiratory irritant. Moreover, description in SIDS (2004) that the active fall and the reaction fall of startle reflex were seen in the neurotoxicity study using rats exposed to 3000ppm for 6 hours, and inhibition of the central nervous system was seen in the inhalation exposure test exposed to 15.7mg/L for 4 hours using rats and rabbits of of EHC 65 (1987). So all were reversible transient influences, and it was thought that there was an anesthetic actions. It was set as Category 3 (respiratory irritant, anesthetic actions)","Feb. 20, 2007 (Environmental Hazards: Feb. 10, 2006)"
