CASRN,Name,Classification,Symbol,Signal word,Hazard statement,Rationale for classification,Date of classification
10025-78-2,"Silane, trichloro-","Substances and mixtures, which in contact with water, emit flammable gases - Category 1",Flame,Danger,In contact with water releases flammable gases which may ignite spontaneously,"Category 1 UNRTDG No. 1295, Class:  4.3(3, 8), PG I","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
11135-81-2,Sodium potassium alloys,"Substances and mixtures, which in contact with water, emit flammable gases - Category 1",Flame,Danger,In contact with water releases flammable gases which may ignite spontaneously,"Category 1 UNRTDG No. 1422, Class:  4.3, PG I","Feb. 20, 2007 (Environmental Hazards: Mar. 31, 2006)"
12427-38-2,"Manganese N,N'-ethylenebis(dithiocarbamate)","Substances and mixtures, which in contact with water, emit flammable gases - Category 3",,,,"The subsidiary risks of the substance fall into Division 4.3, Packing Group III (UN#2210 Maneb or Maneb Preparations with not less than 60% maneb, substance which in contact with water emits flammable gases (ICSC (2003))) under the UN Recommendations on the Transport of Dangerous Goods, which corresponds to Category 3 of GHS classification. Those containing stabilizers are also classified into Division 4.3, Packing Group III (UN#2968 Maneb or Maneb Preparations (Maneb stabilized against self-heating; substance which in contact with water emits flammable gases)) under the UN Recommendations on the Transport of Dangerous Goods.

","Dec. 18, 2006 (Environmental Hazards: Mar. 31, 2006)"
1305-99-3,tricalcium diphosphide,"Substances and mixtures, which in contact with water, emit flammable gases - Category 1",Flame,Danger,In contact with water releases flammable gases which may ignite spontaneously,UNRTDG Class: 4.3; PG I,"Mar. 23, 2006"
1314-80-3,Diphosphorus pentasulfide,"Substances and mixtures, which in contact with water, emit flammable gases - Category 2",Flame,Danger,In contact with water releases flammable gases,UNRTDG Class: 4.3; PG II,"Mar. 23, 2006"
1314-84-7,trizinc diphosphide,"Substances and mixtures, which in contact with water, emit flammable gases - Category 1",Flame,Danger,In contact with water releases flammable gases which may ignite spontaneously,"Category 1 UNRTDG No. 1714, Class:  4.3, PG I","Oct. 23, 2006 (Environmental Hazards: Mar. 31, 2006)"
1333-86-4,Carbon black,"Substances and mixtures, which in contact with water, emit flammable gases - Not applicable(Materials of animal or vegetable origin and mineral origin)",-,-,-,"The chemical structure of the substance does not contain metals or metaloids(B, Si, P, Ge, As, Se, Sn, Sb, Te, Bi, Po, At).","Jun. 20, 2006"
156-62-7,"Cyanamide, calcium salt (1:1)","Substances and mixtures, which in contact with water, emit flammable gases - Category 3 or Not classified",Flame,"Warning
",In contact with water releases flammable gases,"It reacts with water and flammable gases acetylene and ammonia are produced (HSDB, 2003). When the content of carbonized calcium (calcium carbide) which is manufacturing impurities exceeds 0.1% (UN number 1403), UNRTDG is classificationed into 4.3 and III and corresponds tocategory 3, but When other, it is outside Category. ","Mar. 15, 2007 (Environmental Hazards: Mar. 31, 2006)"
20859-73-8,aluminium phosphide,"Substances and mixtures, which in contact with water, emit flammable gases - Category 1",Flame,Danger,In contact with water releases flammable gases which may ignite spontaneously,"Category 1 UNRTDG No. 1397, Class:  4.3, PG I","Apr. 20, 2006 (Environmental Hazards: Mar. 31, 2006)"
25167-80-0,chlorophenol,"Substances and mixtures, which in contact with water, emit flammable gases - Not applicable (o, m, p)",-,-,-,"Containing no metals or metalloids (B, Si, P, Ge, As, Se, Sn, Sb, Te, Bi, Po, At)(o, m, p-)","Jul. 24, 2006 (Environmental Hazards: Mar. 31, 2006)"
