CASRN,Name,Hazard class,Category,H-statement,M-factor
124-43-6,Urea peroxide,Oxidizing solids,Category 3,H272 - May intensify fire; oxidizer,
124-43-6,Urea compd. with hydrogen peroxide (1:1),Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
106-90-1,Glycidyl acrylate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
106-90-1,"Glycidyl acrylate ; 2,3-Epoxypropyl acrylate",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
106-90-1,"Glycidyl acrylate ; 2,3-Epoxypropyl acrylate",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
106-90-1,"Glycidyl acrylate ; 2,3-Epoxypropyl acrylate",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
7440-23-5,Sodium,"Substances and mixtures which, in contact with water, emit flammable gases",Category 1,H260 - In contact with water releases flammable gases which may ignite spontaneously,
7440-23-5,Sodium,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
1754-58-1,Diamidafos,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
1754-58-1,"Phenyl N,N'-dimethylphosphorodiamidate ; Diamidafos",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
80060-09-9,Diafenthiuron,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,100
80060-09-9,"1-tert-Butyl-3-(2,6-di-isopropyl-4-phenoxyphenyl)thiourea ; Diafenthiuron",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1000
80060-09-9,"1-tert-Butyl-3-(2,6-di-isopropyl-4-phenoxyphenyl)thiourea ; Diafenthiuron",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
10311-84-9,Dialifor,Acute toxicity (oral),Category 1,H300 - Fatal if swallowed,10
10311-84-9,"S-2-Chloro-1-phthalimidoethyl O,O-diethylphosphorodithioate ; Dialifor",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
10311-84-9,"S-2-Chloro-1-phthalimidoethyl O,O-diethylphosphorodithioate ; Dialifor",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
10311-84-9,"S-2-Chloro-1-phthalimidoethyl O,O-diethylphosphorodithioate ; Dialifor",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
31512-74-0,WSCP,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,10
31512-74-0,Poly[oxyethylene(dimethylimino)ethylene(dimethylimino)ethylene dichloride],Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10
52918-63-5,Decamethrine,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,1000
52918-63-5,"[1R-[1α(S*),3α]]-3-(2,2-Dibromoethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; α-Cyano-3-phenoxybenzyl-[1R-[1α(S*),3α]]-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate, Decamethrine, Decis, Butox, Decamethrine",Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
52918-63-5,"[1R-[1α(S*),3α]]-3-(2,2-Dibromoethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; α-Cyano-3-phenoxybenzyl-[1R-[1α(S*),3α]]-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate, Decamethrine, Decis, Butox, Decamethrine",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
52918-63-5,"[1R-[1α(S*),3α]]-3-(2,2-Dibromoethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; α-Cyano-3-phenoxybenzyl-[1R-[1α(S*),3α]]-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate, Decamethrine, Decis, Butox, Decamethrine",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,10000
52918-63-5,"[1R-[1α(S*),3α]]-3-(2,2-Dibromoethenyl)-2,2-dimethylcyclopropanecarboxylic acid cyano(3-phenoxyphenyl)methyl ester ; α-Cyano-3-phenoxybenzyl-[1R-[1α(S*),3α]]-3-(2,2-dibromovinyl)-2,2-dimethylcyclopropanecarboxylate, Decamethrine, Decis, Butox, Decamethrine",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
2439-10-3,Dodine,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
2439-10-3,"Dodecylguanidinum acetate;Carpene, Dodine",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
2439-10-3,"Dodecylguanidinum acetate;Carpene, Dodine",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
2439-10-3,"Dodecylguanidinum acetate;Carpene, Dodine",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
2439-10-3,"Dodecylguanidinum acetate;Carpene, Dodine",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
2439-10-3,"Dodecylguanidinum acetate;Carpene, Dodine",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
5707-69-7,Drazoxolon,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
