CASRN,Substance name,HSNO code,HSNO classification text,GHS translation
100-00-5,1-Chloro-4-nitrobenzene,6.1C (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 3
100-00-5,1-Chloro-4-nitrobenzene,6.1C (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 3
100-00-5,1-Chloro-4-nitrobenzene,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
100-00-5,1-Chloro-4-nitrobenzene,6.7B,Suspected human carcinogens,GHS: Carcinogenicity - Category 2
100-00-5,1-Chloro-4-nitrobenzene,9.1B (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
100-00-5,1-Chloro-4-nitrobenzene,9.1B (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
100-00-5,1-Chloro-4-nitrobenzene,9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2
100-00-5,1-Chloro-4-nitrobenzene,9.3B,Ecotoxic to terrestrial vertebrates,
100-01-6,4-Nitroaniline,6.1B (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 2
100-01-6,4-Nitroaniline,6.1B (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 2
100-01-6,4-Nitroaniline,6.1B (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 2
100-01-6,4-Nitroaniline,6.9B (oral),Harmful to human target organs or systems,GHS: Specific Target Organ Systemic Toxicity - Category 2
100-01-6,4-Nitroaniline,9.1C (algal),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
100-01-6,4-Nitroaniline,9.1C (crustacean),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
100-01-6,4-Nitroaniline,9.1C (fish),Harmful in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 3
100-01-6,4-Nitroaniline,9.3A,Very ecotoxic to terrestrial vertebrates,
100-02-7,4-Nitrophenol,6.1C (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 3
100-02-7,4-Nitrophenol,6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4
100-02-7,4-Nitrophenol,6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2
