CASRN,Substance name,HSNO code,HSNO classification text,GHS translation,Key study
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",3.1C,Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3,"Flashpoint Value :52 °C 
Test Method :Closed cup
Boiling Point : °C"
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4,R PHRASE: R 21 [Company Data]
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",6.1D (inhalation),Acutely toxic,GHS: Acute toxicity: Inhalation - Category 4,Inhalation Form:<br/> R PHRASE: R 20 [Company Data]
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,R PHRASE: R 22 [Company Data]
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"R PHRASE: R 34 [Company Data]
"
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"R PHRASE: R 34 [Company Data]
"
_v0_100-37-8,"2-Diethylaminoethanol, >25% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"R PHRASE: R 22 [Company Data]
"
_v0_10025-91-9,"Antimony (III) chloride, >26% in a non hazardous diluent",8.2C,Corrosive to dermal tissue,GHS: Skin corrosion/irritation - Category 1C,"R PHRASE: R 34 [Company Data]
"
_v0_10025-91-9,"Antimony (III) chloride, >26% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"R PHRASE: R 34 [Company Data]
"
_v0_10025-91-9,"Antimony (III) chloride, >26% in a non hazardous diluent",9.1B (algal),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"R PHRASE: R 51/53 [Company Data]

Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10025-91-9,"Antimony (III) chloride, >26% in a non hazardous diluent",9.1B (crustacean),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"R PHRASE: R 51/53 [Company Data]

Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10025-91-9,"Antimony (III) chloride, >26% in a non hazardous diluent",9.1B (fish),Very ecotoxic in the aquatic environment,GHS: Aquatic toxicity (Chronic) - Category 2,"R PHRASE: R 51/53 [Company Data]

Bioccumulative: ND

Rapidly Degradable: ND
"
_v0_10034-88-5,"Sodium hydrogen sulphate, monohydrate, >3% in a non hazardous diluent",8.3A,Corrosive to ocular tissue,GHS: Serious eye damage/eye irritation - Category 1,"R PHRASE: R 41 [Company Data]
"
_v1_10035-04-8,"Calcium chloride dihydrate, >26% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"Classification based on the parent record and mixture rules.
"
_v1_10035-04-8,"Calcium chloride dihydrate, >26% in a non hazardous diluent",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10035-04-8,"Calcium chloride dihydrate, >26% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_10035-04-8,"Calcium chloride dihydrate, >26% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
