HSNO code,HSNO classification,GHS correspondence
2.1.1A,2.1.1A - Flammable Gases: high hazard,GHS: Flammable gases - Category 1
2.1.1B,2.1.1B - Flammable Gases: medium hazard,GHS: Flammable gases - Category 2
3.1A,3.1A - Flammable Liquids: very high hazard,GHS: Flammable liquids - Category 1
3.1B,3.1B - Flammable Liquids: high hazard,GHS: Flammable liquids - Category 2
3.1C,3.1C - Flammable Liquids: medium hazard,GHS: Flammable liquids - Category 3
3.1D,3.1D - Flammable Liquids: low hazard,GHS: Flammable liquids - Category 4
4.1.1A,4.1.1A - Readily combustible solids and solids that may cause fire through friction: medium hazard,GHS: Flammable solids - Category 1
4.1.1B,4.1.1B - Readily combustible solids and solids that may cause fire through friction: low hazard,GHS: Flammable solids - Category 2
4.1.2B,4.1.2B - Self Reactive Substances: type B,GHS: Self-reactive substances and mixtures - Type B
4.1.2C,4.1.2C - Self Reactive Substances: type C,GHS: Self-reactive substances and mixtures - Type C
4.1.2D,4.1.2D - Self Reactive Substances: type D,GHS: Self-reactive substances and mixtures - Type D
4.1.3A,4.1.3A - Solid Desensitised Explosives: high hazard,
4.1.3B,4.1.3B - Solid Desensitised Explosives: medium hazard,
4.1.3C,4.1.3C - Solid Desensitised Explosives: low hazard,
4.2A,4.2A - Spontaneously Combustible Substances: pyrophoric substances: high hazard,GHS: Pyrophoric substances - Category 1
4.2B,4.2B - Spontaneously Combustible Substances: self-heating substances:medium hazard,GHS: Self-heating substances and mixtures - Category 1
4.2C,4.2C - Spontaneously Combustible Substances: self-heating substances: low hazard,GHS: Self-heating substances and mixtures - Category 2
4.3A,4.3A - Solids that emit flammable gas when in contact with water: high hazard,"GHS: Substances and mixtures, which in contact with water, emit flammable gases - Category 1"
4.3B,4.3B - Solids that emit flammable gas when in contact with water: medium hazard,"GHS: Substances and mixtures, which in contact with water, emit flammable gases - Category 2"
4.3C,4.3C - Solids that emit flammable gas when in contact with water: low hazard,"GHS: Substances and mixtures, which in contact with water, emit flammable gases - Category 3"
5.1.1A,5.1.1A - Oxidising substances that are liquids or solids: high hazard,GHS: Oxidizing liquids/solids - Category 1
5.1.1B,5.1.1B - Oxidising substances that are liquids or solids: medium hazard,GHS: Oxidizing liquids/solids - Category 2
