CASRN,Substance name,HSNO code,HSNO classification text,GHS translation,Key study
_v0_100-51-6,"Benzenemethanol, >10 - 20% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_100-51-6,"Benzenemethanol, >10 - 20% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_100-51-6,"Benzenemethanol, >10 - 20% in a non hazardous diluent",9.2C,Harmful in the soil environment,,"
Soil DT 50 > 30 days: ND
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",6.1D (dermal),Acutely toxic,GHS: Acute toxicity: Dermal - Category 4,"Classification based on the parent record and mixture rules.
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"Classification based on the parent record and mixture rules.
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,"Classification based on the pure chemical classification and mixture rules. 
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",9.1D (algal),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic),"Classification based on parent record and mixture rules. 
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",9.1D (crustacean),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic),"Classification based on parent record and mixture rules. 
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",9.1D (fish),Slightly harmful in the aquatic environment or are otherwise designed for biocidal action,GHS: Aquatic toxicity - Category 2-3 (Acute) or Category 4 (Chronic),"Classification based on parent record and mixture rules. 
Bioccumulative: ND

Rapidly Degradable: ND
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",9.2B,Ecotoxic in the soil environment,,"
Soil DT 50 > 30 days: ND
"
_v1_100-51-6,"Benzenemethanol, >52% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"Classification based on the pure chemical classification and mixture rules. 
"
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",4.1.1B,Readily combustible solids and solids that may cause fire through friction: low hazard,GHS: Flammable solids - Category 2,
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",6.1D (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 4,"Classification based on the parent record and mixture rules.
"
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",6.3B,Mildly irritating to the skin,GHS: Skin corrosion/irritation - Category 3,"CROSS REFERENCE: Cas #100-97-0 1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane

SPECIES: Guinea Pig
RESULT: Mild irritation
REFERENCE SOURCE: [Peer Reviewed] [Clayton, G.D., F.E. Clayton (eds.) Pattys Industrial Hygiene and Toxicology. Volumes 2A, 2B, 2C, 2D, 2E, 2F: Toxicology. 4th ed. New York, NY: John Wiley & Sons Inc., 1993-1994. 3325]. [HSDB]
"
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"CROSS REFERENCE: Cas #100-97-0 1,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane

SPECIES: 
RESULT: An irritant of the skin, eyes, mucous membranes and upper respiratory tract.
REFERENCE SOURCE: [269] Lenga, Robert E.  The Sigma-Aldrich Library of Chemical Safety Data. Edition 1.  Sigma-Aldrich Corporation.  Milwaukee, WI.  1985. p. 1026, #B. [NTP]


"
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1,"                   CONTACT & RESPIRATORY                

CROSS REFERENCE: Cas #100-97-01,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane

SPECIES: Human
RESULT: Sensitizing
REFERENCE SOURCE: Degussa AG Frankfurt am Main (42) Gelfond, H.H., J. Allergy 34, 374-381 (1963) [IUCLID 2000]
"
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",6.5B (contact),Contact sensitisers,GHS: Skin sensitization - Category 1,"                   CONTACT & RESPIRATORY                

CROSS REFERENCE: Cas #100-97-01,3,5,7-Tetraazatricyclo[3.3.1.13,7]decane

SPECIES: Human
RESULT: Sensitizing
REFERENCE SOURCE: Degussa AG Frankfurt am Main (42) Gelfond, H.H., J. Allergy 34, 374-381 (1963) [IUCLID 2000]
"
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",6.8B,Suspected human reproductive or developmental toxicants,GHS: Reproductive toxicity - Category 2,
_v0_100-97-0,"Methenamine, >26% in a non hazardous diluent",9.3C,Harmful to terrestrial vertebrates,,"REMARK: Classification based on the pure substance (CAS # 100-97-0) and mixture rules.
"
_v0_10026-24-1,"Cobalt sulphate, heptahydrate, >10 - 24% in a non hazardous diluent",6.1E (oral),Acutely toxic,GHS: Acute toxicity: Oral - Category 5,"Classification based on the parent record and mixture rules.
"
_v0_10026-24-1,"Cobalt sulphate, heptahydrate, >10 - 24% in a non hazardous diluent",6.3A,Irritating to the skin,GHS: Skin corrosion/irritation - Category 2,"REMARK: Classification calculated using the hazard classification of the pure substance (CAS # 10026-24-1) and mixture rules.
"
_v0_10026-24-1,"Cobalt sulphate, heptahydrate, >10 - 24% in a non hazardous diluent",6.4A,Irritating to the eye,GHS: Serious eye damage/eye irritation - Category 2,"REMARK: Classification calculated using the hazard classification of the pure substance (CAS # 10026-24-1) and mixture rules.
"
_v0_10026-24-1,"Cobalt sulphate, heptahydrate, >10 - 24% in a non hazardous diluent",6.5A (respiratory),Respiratory sensitisers,GHS: Respiratory sensitization - Category 1,"REMARK: Classification calculated using the hazard classification of the pure substance (CAS # 10026-24-1) and mixture rules.
"
